#node,latitude,longitude,P amount,P-limit,P limit modified,P excess,DE compare,indicator,log10(indicator)
n76,43.1486015,-89.5262985,0.0,0,1.0,0.0,0.0,1.0,0.0
n77,43.1553993,-89.5304031,0.0,0,1.0,0.0,0.0,1.0,0.0
n78,43.1519012,-89.5138016,0.0,0,1.0,0.0,0.0,1.0,0.0
n79,43.1489983,-89.4925003,0.0,0,1.0,0.0,0.0,1.0,0.0
n80,43.1484985,-89.4857025,0.0,0,1.0,0.0,0.0,1.0,0.0
n81,43.1576004,-89.4906998,0.0,0,1.0,0.0,0.0,1.0,0.0
n82,43.1371994,-89.4744034,0.0,0,1.0,0.0,0.0,1.0,0.0
n83,43.1633987,-89.4853973,0.0,0,1.0,0.0,0.0,1.0,0.0
n84,43.1635017,-89.490303,0.0,0,1.0,0.0,0.0,1.0,0.0
n85,43.1629982,-89.520401,0.0,0,1.0,0.0,0.0,1.0,0.0
n86,43.1762009,-89.5140991,0.0,0,1.0,0.0,0.0,1.0,0.0
n87,43.1660995,-89.5354004,0.0,0,1.0,0.0,0.0,1.0,0.0
n88,43.1707001,-89.5366974,0.0,0,1.0,0.0,0.0,1.0,0.0
n89,43.1744995,-89.5409012,0.0,0,1.0,0.0,0.0,1.0,0.0
n90,43.1773987,-89.5261993,0.0,0,1.0,0.0,0.0,1.0,0.0
n91,43.1804008,-89.5279007,0.0,0,1.0,0.0,0.0,1.0,0.0
n92,43.1785011,-89.5472031,0.0,0,1.0,0.0,0.0,1.0,0.0
n93,43.1908989,-89.5143967,0.0,0,1.0,0.0,0.0,1.0,0.0
n94,43.1913986,-89.5082016,0.0,0,1.0,0.0,0.0,1.0,0.0
n95,43.1767998,-89.4833984,0.0,0,1.0,0.0,0.0,1.0,0.0
n96,43.1801987,-89.4834976,0.0,0,1.0,0.0,0.0,1.0,0.0
n97,43.2262993,-89.5859985,0.0,0,1.0,0.0,0.0,1.0,0.0
n98,43.2167015,-89.5633011,0.0,0,1.0,0.0,0.0,1.0,0.0
n99,43.2186012,-89.5201035,0.0,0,1.0,0.0,0.0,1.0,0.0
n100,43.2188988,-89.4841003,0.0,0,1.0,0.0,0.0,1.0,0.0
n101,43.2192993,-89.4787979,0.0,0,1.0,0.0,0.0,1.0,0.0
n102,43.2139015,-89.4787979,0.0,0,1.0,0.0,0.0,1.0,0.0
n103,43.2144012,-89.4497986,0.0,0,1.0,0.0,0.0,1.0,0.0
n104,43.2071991,-89.4354019,0.0,0,1.0,0.0,0.0,1.0,0.0
n105,43.2075005,-89.4244995,0.0,0,1.0,0.0,0.0,1.0,0.0
n106,43.2074013,-89.4147034,0.0,0,1.0,0.0,0.0,1.0,0.0
n107,43.225399,-89.4225998,0.0,0,1.0,0.0,0.0,1.0,0.0
n108,43.2275009,-89.4402008,0.0,0,1.0,0.0,0.0,1.0,0.0
n109,43.2242012,-89.4461975,0.0,0,1.0,0.0,0.0,1.0,0.0
n110,43.2290001,-89.4532013,0.0,0,1.0,0.0,0.0,1.0,0.0
n111,43.2265015,-89.4605026,0.0,0,1.0,0.0,0.0,1.0,0.0
n112,43.2305984,-89.4702988,0.0,0,1.0,0.0,0.0,1.0,0.0
n113,43.2271996,-89.4910965,0.0,0,1.0,0.0,0.0,1.0,0.0
n114,43.2233009,-89.4953003,0.0,0,1.0,0.0,0.0,1.0,0.0
n115,43.223999,-89.4994965,0.0,0,1.0,0.0,0.0,1.0,0.0
n116,43.2232018,-89.507103,0.0,0,1.0,0.0,0.0,1.0,0.0
n117,43.2308006,-89.5151978,0.0,0,1.0,0.0,0.0,1.0,0.0
n118,43.2331009,-89.5223999,0.0,0,1.0,0.0,0.0,1.0,0.0
n119,43.2299995,-89.5406036,0.0,0,1.0,0.0,0.0,1.0,0.0
n120,43.2237015,-89.5258026,0.0,0,1.0,0.0,0.0,1.0,0.0
n121,43.2249985,-89.547699,0.0,0,1.0,0.0,0.0,1.0,0.0
n122,43.2361984,-89.5394974,0.0,0,1.0,0.0,0.0,1.0,0.0
n123,43.2421989,-89.5285034,0.0,0,1.0,0.0,0.0,1.0,0.0
n124,43.2396011,-89.5149002,0.0,0,1.0,0.0,0.0,1.0,0.0
n125,43.2425995,-89.5072021,0.0,0,1.0,0.0,0.0,1.0,0.0
n126,43.2416,-89.4819031,0.0,0,1.0,0.0,0.0,1.0,0.0
n127,43.2405014,-89.4778976,0.0,0,1.0,0.0,0.0,1.0,0.0
n128,43.2389984,-89.4828033,0.0,0,1.0,0.0,0.0,1.0,0.0
n129,43.2363014,-89.4637985,0.0,0,1.0,0.0,0.0,1.0,0.0
n130,43.2495995,-89.4677963,0.0,0,1.0,0.0,0.0,1.0,0.0
n131,43.2509995,-89.4654007,0.0,0,1.0,0.0,0.0,1.0,0.0
n132,43.2639999,-89.4701004,0.0,0,1.0,0.0,0.0,1.0,0.0
n133,43.2668991,-89.4732971,0.0,0,1.0,0.0,0.0,1.0,0.0
n134,43.2714996,-89.461998,0.0,0,1.0,0.0,0.0,1.0,0.0
n135,43.2509995,-89.4849014,0.0,0,1.0,0.0,0.0,1.0,0.0
n136,43.1721001,-89.4093018,0.0,0,1.0,0.0,0.0,1.0,0.0
n137,43.2061996,-89.4910965,0.0,0,1.0,0.0,0.0,1.0,0.0
n138,43.1985016,-89.5158997,0.0,0,1.0,0.0,0.0,1.0,0.0
n139,43.2391014,-89.4505005,0.0,0,1.0,0.0,0.0,1.0,0.0
n140,43.2495995,-89.4573975,0.0,0,1.0,0.0,0.0,1.0,0.0
n141,43.2672997,-89.419899,0.0,0,1.0,0.0,0.0,1.0,0.0
n142,43.2717018,-89.4229965,0.0,0,1.0,0.0,0.0,1.0,0.0
n143,43.2831001,-89.4509964,0.0,0,1.0,0.0,0.0,1.0,0.0
n144,43.2882004,-89.450798,0.0,0,1.0,0.0,0.0,1.0,0.0
n145,43.2545013,-89.4505997,0.0,0,1.0,0.0,0.0,1.0,0.0
n146,43.2602005,-89.4029999,0.0,0,1.0,0.0,0.0,1.0,0.0
n147,43.2733994,-89.3263016,0.0,0,1.0,0.0,0.0,1.0,0.0
n148,43.2765999,-89.3035965,0.0,0,1.0,0.0,0.0,1.0,0.0
n149,43.2681999,-89.2957993,0.0,0,1.0,0.0,0.0,1.0,0.0
n150,43.2755013,-89.2863998,0.0,0,1.0,0.0,0.0,1.0,0.0
n151,43.2748985,-89.2835007,0.0,0,1.0,0.0,0.0,1.0,0.0
n152,43.2481003,-89.392601,0.0,0,1.0,0.0,0.0,1.0,0.0
n153,43.1949005,-89.3887024,0.0,0,1.0,0.0,0.0,1.0,0.0
n154,43.2190018,-89.4064026,0.0,0,1.0,0.0,0.0,1.0,0.0
n155,43.2200012,-89.4132004,0.0,0,1.0,0.0,0.0,1.0,0.0
n156,43.2327003,-89.4228973,0.0,0,1.0,0.0,0.0,1.0,0.0
n157,43.2249985,-89.4007034,0.0,0,1.0,0.0,0.0,1.0,0.0
n158,43.2388,-89.3188019,0.0,0,1.0,0.0,0.0,1.0,0.0
n159,43.2537994,-89.3167038,0.0,0,1.0,0.0,0.0,1.0,0.0
n160,43.2456017,-89.4372025,0.0,0,1.0,0.0,0.0,1.0,0.0
n161,43.2153015,-89.3125,0.0,0,1.0,0.0,0.0,1.0,0.0
n162,43.1935005,-89.3290024,0.0,0,1.0,0.0,0.0,1.0,0.0
n163,43.2235985,-89.2497025,0.0,0,1.0,0.0,0.0,1.0,0.0
n164,43.2246017,-89.2434998,0.0,0,1.0,0.0,0.0,1.0,0.0
n165,43.2246017,-89.2553024,0.0,0,1.0,0.0,0.0,1.0,0.0
n166,43.2318993,-89.2662964,0.0,0,1.0,0.0,0.0,1.0,0.0
n167,43.2172012,-89.2781982,0.0,0,1.0,0.0,0.0,1.0,0.0
n168,43.2223015,-89.2819977,0.0,0,1.0,0.0,0.0,1.0,0.0
n169,43.2263985,-89.2979965,0.0,0,1.0,0.0,0.0,1.0,0.0
n170,43.2550011,-89.2838974,0.0,0,1.0,0.0,0.0,1.0,0.0
n171,43.2389984,-89.2774963,0.0,0,1.0,0.0,0.0,1.0,0.0
n172,43.2490005,-89.2640991,0.0,0,1.0,0.0,0.0,1.0,0.0
n173,43.25,-89.254097,0.0,0,1.0,0.0,0.0,1.0,0.0
n174,43.2677994,-89.2730026,0.0,0,1.0,0.0,0.0,1.0,0.0
n175,43.1925011,-89.5501022,0.0,0,1.0,0.0,0.0,1.0,0.0
n176,43.196701,-89.530899,0.0,0,1.0,0.0,0.0,1.0,0.0
n177,43.1393013,-89.5586014,0.0,0,1.0,0.0,0.0,1.0,0.0
n178,43.1792984,-89.5178986,0.0,0,1.0,0.0,0.0,1.0,0.0
n179,43.178299,-89.4965973,0.0,0,1.0,0.0,0.0,1.0,0.0
n180,43.2064018,-89.5212021,0.0,0,1.0,0.0,0.0,1.0,0.0
n181,43.2025986,-89.5406036,0.0,0,1.0,0.0,0.0,1.0,0.0
n182,43.2169991,-89.5840988,0.0,0,1.0,0.0,0.0,1.0,0.0
n183,43.232399,-89.5010986,0.0,0,1.0,0.0,0.0,1.0,0.0
n184,43.214901,-89.3760986,0.0,0,1.0,0.0,0.0,1.0,0.0
n185,43.2369003,-89.3796005,0.0,0,1.0,0.0,0.0,1.0,0.0
n186,43.2700005,-89.346199,0.0,0,1.0,0.0,0.0,1.0,0.0
n187,43.2038994,-89.292099,0.0,0,1.0,0.0,0.0,1.0,0.0
n188,43.1282997,-89.4730988,0.0,0,1.0,0.0,0.0,1.0,0.0
n189,43.1525993,-89.471199,0.0,0,1.0,0.0,0.0,1.0,0.0
n190,43.1599007,-89.5000992,0.0,0,1.0,0.0,0.0,1.0,0.0
n191,43.1641006,-89.4777985,0.0,0,1.0,0.0,0.0,1.0,0.0
n192,43.169899,-89.4971008,0.0,0,1.0,0.0,0.0,1.0,0.0
n193,43.1864014,-89.5758972,0.0,0,1.0,0.0,0.0,1.0,0.0
n194,43.2069016,-89.5643997,0.0,0,1.0,0.0,0.0,1.0,0.0
n195,43.2470016,-89.5035019,0.0,0,1.0,0.0,0.0,1.0,0.0
n196,43.2565994,-89.441803,0.0,0,1.0,0.0,0.0,1.0,0.0
n197,43.2088013,-89.3968964,0.0,0,1.0,0.0,0.0,1.0,0.0
