,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-11.96789287811998,-16.06612642390851,-12.57591102972207,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-9.952606749394924,-15.212010928125398,-11.852617556783967,-16.455768908831587,-15.883436899137953,-11.332722633427306,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-12.003944331058332,-16.096325603988102,-12.606110209801662,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-9.968927832083528,-15.1395007983416,-11.842314145524954,-16.390899772716548,-15.880726428679809,-11.330311106107912,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-12.073502686236715,-16.67164108678029,-13.22705219975306,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-9.752640791660596,-14.510069912438695,-11.281701684391027,-16.556681096610046,-16.33412696351898,-11.838117821940095,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-11.396659867213986,-16.057564625694962,-12.589054367171054,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-10.504161986764439,-15.133041323920613,-11.767631160419322,-16.55618516591013,-15.598368808378101,-11.047617871790312,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-11.671386520716327,-16.030283388592235,-12.561773130068325,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-10.230846975693392,-15.209856252720272,-11.831184112007072,-16.409664284042215,-15.584549589379497,-11.034043067740445,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-12.332631139789132,-15.630206308283487,-12.290954450545598,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-9.675177564952937,-15.30254766254384,-11.935566001987878,-16.12751241424286,-15.2574323450104,-10.696701924578866,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-12.411545904582484,-15.605751657525015,-12.167288523768713,-0.0,-0.0,-0.0,-0.0,797.573568966007,-9.814798551853302,-15.111976352569028,-11.773039260897113,-16.2070889825635,-15.354053600803807,-10.780896304514325,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-12.584747773788443,-16.054134519695307,-12.475327044557702,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-9.888010276877125,-15.262856706650895,-11.944047798832695,-15.936470034773338,-15.353251931518962,-10.80374184065348,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-11.221823988415903,-15.801531624878397,-12.401334965743999,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-10.45001485621542,-14.805029508792499,-11.536907433002025,-15.40449719665548,-16.249541608435024,-11.537499277524498,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-11.059134749074014,-15.727442782733451,-12.211696636992324,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-10.019527150727205,-14.568499391392264,-11.313158505481892,-15.633887597928464,-16.36398730439768,-11.767092720451545,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-11.420764678933969,-15.82208794590012,-12.211863462557385,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-10.251089352441193,-14.619326058091008,-11.348166164307985,-15.510598898265116,-16.31912434153331,-11.537666262775442,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-11.456134449129303,-15.674026044113132,-12.153615838008927,-0.0,-0.0,-0.0,-0.0,798.507057728507,-10.061215310944306,-14.424112048750569,-11.26736866828658,-15.557455196468542,-16.40935859911343,-11.535037976913637,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-11.210283498010968,-15.629461988102669,-12.270810672080506,-0.0,-0.0,-0.0,-0.0,798.109719232489,-9.875351768637616,-14.6109391205997,-11.378108859821674,-15.733502818789036,-16.352849745197105,-11.726462577011402,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-12.221064706630052,-15.975215446008182,-12.505089645144377,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-9.86231530419616,-15.041687820886754,-11.778728094610027,-16.22391360402402,-15.916170188193115,-11.36734898846382,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-11.571566256788305,-15.429079357197129,-12.008516821542296,-0.0,-0.0,-0.0,-0.0,797.891535919738,-9.764618043702283,-14.856679555325245,-11.644894686910414,-15.94762842403762,-16.406181877457676,-11.866352933283588,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-10.611003913422374,-14.93567397751356,-11.672597114056867,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-9.601922807304925,-14.10286000120085,-11.015798423511871,-16.7141512925368,-17.240620191402414,-12.68627930724104,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-12.40420776652319,-15.820502798642076,-12.478359845080378,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-9.783903710108493,-15.079663817845892,-11.802126094760961,-16.521455639544737,-16.841312264228527,-12.325875800632584,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-12.549038987086789,-15.959634092059792,-12.546119382808604,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-9.700856890109677,-15.006511989158403,-11.840227025752123,-16.560812613821795,-17.017998714956565,-12.467533691244745,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-10.925978156866897,-15.655338857209184,-12.139592711468056,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-10.08220484677324,-14.435665135776611,-11.25237280343514,-15.691127848066264,-16.433088576405346,-11.811153677375643,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-10.428005525428429,-14.749179103432354,-11.459887543067609,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-9.441502667515437,-13.81543869695778,-10.641799229111975,-16.34840505706451,-17.04365512341007,-12.260549697755632,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-12.067884832306122,-15.593882179383833,-12.230729402743364,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-9.707478787832564,-15.005882176262421,-11.743209252745203,-16.23316544228705,-16.49909233194702,-11.948423637368968,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-10.642797718082935,-14.513086374541448,-11.803605660150373,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-8.568420981893324,-12.801681441646283,-9.919476915670286,-17.49507272544143,-17.741103828088008,-13.170167716073529,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-10.575712410122541,-14.566024350898607,-11.713670047499987,-0.0,-0.0,-0.0,-0.0,796.4503925186499,-8.489045765165498,-12.72234785949116,-9.931091578962052,-17.447107065361227,-17.750854293826546,-13.122202055993322,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
