,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-7.598908226610527,-10.510588211085889,-8.200658160062519,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-6.057864345127194,-9.080123482411736,-7.012587556783967,-14.070710368478686,-15.880604275958156,-11.330388847083801,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-7.538796670454323,-10.586556373571682,-8.322287790278214,-0.0,-0.0,-0.04516037543686887,-0.0,797.4767111364057,-6.053150597933064,-9.020011926255531,-7.017301303978097,-14.052052044190148,-15.880753746218458,-11.33028879680696,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-7.359834364877293,-10.861090602962275,-8.468039597536743,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-5.7578249110134685,-8.756225099538469,-6.760606869088321,-14.218428728613974,-16.290795918593822,-11.71776861455507,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-7.383214335421176,-10.631884567090776,-8.314207633163477,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-6.264297714056149,-8.95514476888704,-6.924915847289247,-14.375367974295216,-15.598082895502131,-11.047617871790312,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-7.64282588867683,-10.596856447084116,-8.286926396060748,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-6.033883069939885,-9.140601851884162,-6.981301252720271,-14.229063922872989,-15.584549589379497,-11.034043067740445,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-7.680060858404481,-10.116007855612756,-7.947749181872409,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-5.952533662670666,-9.128651001987878,-7.095536001987877,-13.926260222857378,-15.238501722310078,-10.706967321298581,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-7.566583436828582,-10.022942905978677,-7.782761849610741,-0.0,-0.0,-0.0,-0.0,797.573568966007,-5.958074130692801,-8.916536352569029,-6.933009260897115,-13.960726622223817,-15.333600906560578,-10.802066505549082,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-7.598813937528385,-10.501244452783933,-8.237652692508858,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-6.020515574014341,-9.067416706650896,-7.1003326133511395,-13.75210913585547,-15.34570117403798,-10.795677344956028,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-7.300333961874405,-10.433079453878777,-8.253175877702338,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-6.28014485621542,-8.82499465918302,-6.971942224884379,-13.493389246492551,-15.954564350892719,-11.464141334478722,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-7.1117339549251986,-10.300351828301732,-8.20556402217447,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-5.864073778302786,-8.605404632510634,-6.682141302879665,-13.386383690236991,-16.184273577999328,-11.622215306048577,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-7.396407438477552,-10.244338185184738,-8.054235187184272,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-6.0822833035429165,-8.632385929631118,-6.790671127349036,-13.388974367599676,-15.964689312895887,-11.402863031000496,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-7.205181775501143,-10.053749285203386,-7.943525143377638,-0.0,-0.0,-0.0,-0.0,798.507057728507,-5.887274264456317,-8.435293235796156,-6.774775953308312,-13.28385826422103,-16.00076943579856,-11.349594249950837,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
