,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-5.1579463827436856,-7.412911434216067,-5.746001434216067,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-3.8414736064858013,-5.988199659210772,-4.592572556783967,-10.773579289768978,-15.88085387079562,-11.327780386185871,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-5.153232635549556,-7.488879596701859,-5.828148754902323,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-3.901585162642006,-5.9929134064049014,-4.483135796451853,-10.794614620630155,-15.880776129819731,-11.330286864401458,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-4.905805759062958,-7.214900161858984,-5.619616698966455,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-3.9244152732606032,-5.589016883623219,-4.346072129988226,-10.770365884885704,-16.140557261248038,-11.644291611398208,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-5.174946027236544,-7.443087424609964,-5.827396305747922,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-4.203663934258691,-5.839881323920612,-4.4997803186887815,-10.972149020165034,-15.59817895720964,-11.047903784666282,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-5.12007506365311,-7.415806187507237,-5.7748005852997935,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-3.9289372807563487,-5.91669625272027,-4.571139112007074,-10.82747939272093,-15.58368157738478,-11.034043067740445,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-5.115955858404481,-7.340332708263326,-5.554293697737948,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-3.516959717556139,-6.030931001987876,-4.6925852444968115,-10.549215526781623,-15.230110865684278,-10.684294375951866,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-5.002478436828581,-7.108657687919365,-5.580542209058548,-0.0,-0.0,-0.0,-0.0,797.573568966007,-3.6414593683924217,-5.818816352569031,-4.543379178895607,-10.645021393714897,-15.312587609881822,-10.779681829325606,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-5.138669580725355,-7.501983459976369,-5.919046168027035,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-3.7630065069770895,-5.97465890702537,-4.614286706650896,-10.399477633624683,-15.14327260163755,-10.784923847173797,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-5.093148862980549,-7.196608186541816,-5.660768047590008,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-4.1952098562154205,-5.799944211171796,-4.495505786803426,-10.296714519149326,-15.23316464894564,-11.202348832319917,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-4.854403553577696,-7.1626558265019975,-5.609842152591054,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-3.948773748313657,-5.63672777612522,-4.3933479584207,-10.226107682749408,-15.372274742022134,-11.375944243473159,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-4.905748033360638,-7.036961166083628,-5.529710591881696,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-3.9962691656973544,-5.669571377385682,-4.313803342527639,-10.232548843270102,-15.150876159568806,-11.141070528841691,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-4.734779210449116,-6.8703823338769245,-5.360211990655285,-0.0,-0.0,-0.0,-0.0,798.507057728507,-3.8368402036839884,-5.522100843463465,-4.320265943427735,-10.127432739891455,-15.148313118476926,-11.109701661609419,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-4.981687524396676,-7.3112905770065595,-5.718293444685544,-0.0,-0.0,-0.0,-0.0,798.109719232489,-3.7948950859654653,-5.831148605777287,-4.546476981180822,-10.342092466980873,-15.490622134421717,-11.506890838603258,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-5.150938935577652,-7.470623204866807,-5.818273019151494,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-3.9523677428742365,-6.078211797005331,-4.707664950344414,-10.658197530911583,-15.917615956642619,-11.367353638679749,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-5.158454236695783,-7.466697092092978,-5.846325284162827,-0.0,-0.0,-0.0,-0.0,797.891535919738,-3.532376777662361,-6.147820317736746,-4.791568020560337,-10.42021061798529,-15.665095456771104,-11.697993207684055,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-5.016342250655512,-7.230472437481834,-5.712737548493471,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-4.085326304292269,-5.973540586805842,-4.6599003280256,-10.487631932974956,-15.461838304787001,-12.257913168186779,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-5.157779379848654,-7.451473417368083,-5.865827271369546,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-3.4438702961445014,-6.1148569039774,-4.7594469039774,-10.514139764992688,-16.371105241808834,-12.293102120762587,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-5.20869259421461,-7.600639227640957,-5.867496162155327,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-3.603719346259168,-5.994064122049839,-4.600642501403948,-10.424190244945343,-16.477216049914578,-12.467533691244745,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-4.926507479101963,-7.06532092890747,-5.477347995557797,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-4.020877673837925,-5.622562050411621,-4.408948584294754,-10.192322290224581,-15.350194262630922,-11.39245168414937,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-4.549152799648983,-6.521921089269605,-5.057775061690174,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-3.715728157597768,-5.267355116926456,-4.014983776169166,-10.120351579856466,-15.27102983816679,-11.836881574783074,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-5.09992708226349,-7.458863406309177,-5.889691038378121,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-3.520078125398363,-6.094792444480426,-4.814530722354406,-10.535482320877653,-16.063114567444817,-11.948561310226701,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-4.45869340240334,-6.4989344343296365,-5.050721890645196,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-3.5099160503267317,-5.25855081028537,-4.088452003531943,-10.095856787468074,-14.907209345108582,-11.756304795265157,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-4.3916080944429465,-6.431115367780727,-5.011842717918423,-0.0,-0.0,-0.0,-0.0,796.4503925186499,-3.4288471805161618,-5.276494118794391,-4.094767895830271,-10.078175166242014,-14.865565912617631,-11.714761834866566,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
n24,-4.776153688545508,-6.906873235773656,-5.437127586081779,-0.0,-0.0,-0.0,-0.0,796.5969946958633,-3.8755903818739537,-5.6692937477985295,-4.400214006616366,-10.000960370798065,-15.124776705878725,-11.973869578077153,96.59699469586329,96.59699469586329,96.59699469586329,-0.0,-0.0,-0.0,
n25,-4.377783731075207,-6.359474560251872,-4.973690018702295,-0.0,-0.0,-0.0,-0.0,796.3739214317461,-3.5616910287795216,-5.124625738351485,-3.971649874591548,-10.014758335515106,-14.831131567641146,-11.68042674480714,96.37392143174615,96.37392143174615,96.37392143174615,-0.0,-0.0,-0.0,
n26,-4.2598703420498785,-6.2055886350485565,-4.839761880348202,-0.0,-0.0,-0.0,-0.0,796.4098909896128,-3.3873244397207083,-5.040091901253649,-3.908289215402654,-10.006192761323566,-14.741902354679555,-11.590860436601831,96.40989098961273,96.40989098961273,96.40989098961273,-0.0,-0.0,-0.0,
n27,-4.5702535030785585,-6.688545008657928,-5.271463165135761,-0.0,-0.0,-0.0,-0.0,796.2730933868518,-3.721842980195343,-5.4803695403793,-4.186419772918133,-9.947956103349966,-15.041761096081835,-11.89660943656511,96.27309338685171,96.27309338685171,96.27309338685171,-0.0,-0.0,-0.0,
n28,-4.2333100379321005,-6.0869852718666975,-4.87187642120314,-0.0,-0.0,-0.0,-0.0,797.6339544092049,-3.1622583958168082,-4.694798999347582,-3.623478069621358,-9.91535633261723,-14.60881507390019,-11.447139632068604,97.63395440920486,97.63395440920486,97.63395440920486,-0.0,-0.0,-0.0,
n29,-4.315541261082165,-6.180953294969242,-4.792624493450443,-0.0,-0.0,-0.0,-0.0,797.1306827816518,-3.266857328415681,-4.937333888103276,-3.700028960593689,-10.049887984522613,-14.857926361220905,-11.826558764890018,97.13068278165176,97.13068278165176,97.13068278165176,-0.0,-0.0,-0.0,
n30,-4.092521954383181,-5.848345560698175,-4.52238778474788,-0.0,-0.0,-0.0,-0.0,797.0672058504376,-3.177663800690307,-4.02524256985291,-2.8130343968184444,-9.433030815986513,-13.991693754263506,-11.016760764980086,97.06720585043763,97.06720585043763,97.06720585043763,-0.0,-0.0,-0.0,
n31,-4.149112418747535,-6.004407362290761,-4.697393957518294,-0.0,-0.0,-0.0,-0.0,796.8483714076314,-3.047148646224127,-4.1134926144118005,-2.7560418098292727,-9.301814547831503,-13.881940270233676,-10.954432044869979,96.84837140763135,96.84837140763135,96.84837140763135,-0.0,-0.0,-0.0,
n32,-4.009172452931613,-5.848503491369373,-4.5694261246920025,-0.0,-0.0,-0.0,-0.0,797.7815336196695,-3.045101858751885,-4.283605348585951,-3.263838954171167,-9.680757154277865,-14.39853247026001,-11.208644564341494,97.78153361966947,97.78153361966947,97.78153361966947,-0.0,-0.0,-0.0,
n33,-3.8113083929446785,-5.551254692799054,-4.308215492694139,-0.0,-0.0,-0.0,-0.0,797.0700395822051,-2.5177586452238936,-3.6462363638257314,-2.547232083287708,-8.890445377893593,-13.305829958982004,-10.38357548188832,97.0700395822051,97.0700395822051,97.0700395822051,-0.0,-0.0,-0.0,
n34,-4.043359656393329,-5.784998315762081,-4.519085059775216,-0.0,-0.0,-0.0,-0.0,796.7024862428486,-2.952684033827651,-4.147885306068438,-2.8088654946665663,-9.221335691990825,-13.77865656023254,-10.833641468911203,96.70248624284864,96.70248624284864,96.70248624284864,-0.0,-0.0,-0.0,
n35,-5.243504980435754,-7.546883159770148,-5.751630293662166,-0.0,-0.0,-0.0,-0.0,796.9814357935063,-4.28267456270675,-6.078145019564246,-4.639465421843528,-10.956112342340356,-16.314568395648887,-11.876825784261925,96.98143579350626,96.98143579350626,96.98143579350626,-0.0,-0.0,-0.0,
n36,-5.074749358349608,-7.426581748766229,-5.762236267283144,-0.0,-0.0,-0.0,-0.0,797.0284249452955,-3.9548654272671264,-5.893936176678602,-4.430557146530312,-10.887189044675537,-16.18517013541903,-11.712952481787838,97.0284249452955,97.0284249452955,97.0284249452955,-0.0,-0.0,-0.0,
n37,-5.218413300369669,-7.56377669482165,-5.924751557910819,-0.0,-0.0,-0.0,-0.0,797.2409288943265,-3.809407114386789,-5.9838952421717,-4.929869928515038,-10.735630066488806,-16.324075014749496,-11.802879136021376,97.24092889432654,97.24092889432654,97.24092889432654,-0.0,-0.0,-0.0,
n38,-4.664455106180521,-5.9971215051492415,-4.630854594958038,-0.0,-0.0,-0.0,-0.0,797.2269782734121,-3.7792601536360197,-4.4425431346544295,-3.3911989154215267,-9.764870666031948,-14.430124815525739,-11.405194310959,97.22697827341214,97.22697827341214,97.22697827341214,-0.0,-0.0,-0.0,
n39,-5.024419468912116,-7.2679047496649485,-5.647532941734798,-0.0,-0.0,-0.0,-0.0,797.6588372087996,-3.5161469264532874,-5.858584857365225,-4.541036579431528,-10.499637119324182,-15.81243856674165,-11.904140793049585,97.65883720879954,97.65883720879954,97.65883720879954,-0.0,-0.0,-0.0,
n40,-4.922661532738236,-7.301705323171653,-5.709764524517508,-0.0,-0.0,-0.0,-0.0,796.4711930398287,-3.9552377426576317,-5.6059488955625065,-4.1073421117441935,-10.73957354854257,-16.178970064053036,-11.716261880532615,96.47119303982869,96.47119303982869,96.47119303982869,-0.0,-0.0,-0.0,
n41,-5.1380842894100915,-7.281171759155187,-5.802025917936079,-0.0,-0.0,-0.0,-0.0,796.5251299138337,-3.8503758018436103,-5.855123355208286,-4.557248337891935,-10.285694414699483,-15.939094624598354,-12.674951744532791,96.52512991383364,96.52512991383364,96.52512991383364,-0.0,-0.0,-0.0,
n42,-5.079620411579587,-7.413491872172824,-5.8151865629733,-0.0,-0.0,-0.0,-0.0,796.4053334177429,-3.818230590588456,-5.828328780676518,-4.385034245631805,-10.187433069316235,-15.800973027440149,-12.576690399149543,96.40533341774285,96.40533341774285,96.40533341774285,-0.0,-0.0,-0.0,
n43,-4.056566636846456,-5.926499091563926,-4.577917159248301,-0.0,-0.0,-0.0,-0.0,797.7029228309996,-3.146494194253939,-4.384997684088004,-3.421600879807158,-9.730798861646377,-14.429430279261027,-11.265569548889156,97.7029228309996,97.7029228309996,97.7029228309996,-0.0,-0.0,-0.0,
