,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-10.065330761563965,-13.27981947639384,-10.425035664522817,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-7.990143202487055,-12.143592934804008,-9.51169031726828,-16.405506477410515,-15.883187657139125,-11.328702267339494,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-10.013159770785494,-13.388465500106994,-10.528768518896747,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-7.904546213445387,-12.033985796451852,-9.390060687052586,-16.35669078590477,-15.880776129819731,-11.330261404967988,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-9.617992337487847,-14.00771762062927,-10.948445220940172,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-7.660166352336073,-11.448907196564335,-8.860758966076855,-16.795450685562226,-16.41736147438498,-11.839201516217774,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-9.494097750657971,-13.371531792375961,-10.469289170088851,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-8.396685933489588,-12.035321323920613,-9.324501323920613,-16.312191974390846,-15.59817895720964,-11.047903784666282,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-9.768824404160313,-13.344250555273232,-10.453304397358405,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-8.151259495774639,-12.11213625272027,-9.401316252720271,-16.183809834260533,-15.584549589379497,-11.034084565667678,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-10.244165858404479,-12.873093652272315,-10.202718098832936,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-7.688531337622549,-12.20482766254384,-9.507604363874837,-15.91726748577016,-15.2574323450104,-10.702156039178394,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-10.13068843682858,-12.762100627695554,-10.02183362404607,-0.0,-0.0,-0.0,-0.0,797.573568966007,-7.866842308092237,-12.014256352569028,-9.353024260897113,-16.033149552178863,-15.36307466804032,-10.769066269793425,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-10.162918937528385,-13.233121003115661,-10.396423755607396,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-7.945543623953538,-12.166015191422547,-9.514520471351638,-15.70475377913878,-15.335202607315537,-10.788168900845264,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-9.366154439373897,-13.217502249957791,-10.32734071503805,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-8.36507985621542,-11.827460693027554,-9.217690864183977,-15.40449719665548,-16.150293935727937,-11.545804889950876,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-9.204068230480784,-13.01622766048212,-10.135030955380355,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-7.934592150727205,-11.605128408742843,-9.00095765981136,-15.578423014445248,-16.166870558869398,-11.686298558760987,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-9.565095129891963,-13.091627825405908,-10.13859944634401,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-8.166154352441195,-11.628648489876065,-9.018878661032488,-15.36246332195967,-16.135753493570594,-11.490284050846965,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-9.601067930536074,-12.966742543096915,-10.146783712906409,-0.0,-0.0,-0.0,-0.0,798.507057728507,-7.976280310944308,-11.435724976903975,-8.825513150726044,-15.337566075877684,-16.13726543816162,-11.453712246622928,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-9.355216979417738,-13.043995104608028,-10.225228399718693,-0.0,-0.0,-0.0,-0.0,798.109719232489,-7.82520816922092,-11.621147633415276,-9.062963511245387,-15.703378430158091,-16.298852927768877,-11.736950084610811,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-10.082389390093324,-13.319883749396855,-10.421659008710002,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-7.8978493695596415,-12.045320673838479,-9.364200802625657,-16.234971651056487,-15.917818662391568,-11.367353638679749,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-9.716499738195076,-12.803298731755218,-9.962934549180483,-0.0,-0.0,-0.0,-0.0,797.891535919738,-7.9368382194158,-11.937532378645173,-9.34658350471289,-15.92223101861875,-16.38902909112968,-11.838719679224868,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-8.884707703624567,-12.284957099916276,-9.728631330610702,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-7.689842433192455,-11.256914305891486,-8.798454920879415,-16.4915880480522,-17.23852468890841,-12.66697890956263,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-10.14882637557154,-13.335059759420647,-10.477625284640304,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-7.6438901468045115,-12.217889411777136,-9.554203498345762,-16.67455657097716,-16.884527992497762,-12.331944672188305,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-10.169384050729668,-13.420747627931306,-10.585548058438045,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-7.716137923251364,-12.12678198212609,-9.440672501403949,-16.550778636767422,-17.074503183388934,-12.513612582292637,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-9.070911638273667,-12.901150455962044,-10.062927029856088,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-8.006696076251473,-11.478834905648002,-9.003985162413828,-15.620316098417634,-16.237887408046525,-11.685705036109786,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-8.663443690060571,-11.973850604668945,-9.456050252840226,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-7.4939773077648075,-10.959411727272125,-8.435701940013958,-16.06474598905134,-16.866157136655737,-12.240136850561772,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-10.110563852207829,-13.035320295752438,-10.167169308948685,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-7.94137980720394,-12.148191090398583,-9.49385199777195,-16.346959154641887,-16.49909233194702,-11.9486273082352,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-8.316155798139444,-11.821092090793965,-9.46108722602906,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-6.670251032488507,-9.963262595910809,-7.756699724375149,-17.024174517105166,-17.826247656057657,-13.158887549753558,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-8.24907049017905,-11.75026519099012,-9.371151613378673,-0.0,-0.0,-0.0,-0.0,796.4503925186499,-6.651600662739768,-9.884288175825313,-7.66689412228643,-17.005776004903776,-17.83585700059193,-13.126873109203562,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
