#,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
1,2.2408057761393687,0.001280227195364362,0.00017743763479541674,0.001517507401506853,0.0043381085060209285,0.009681897284610833,0.0044202618095172345,0.0014267546257131702,
2,2.042028366860622,0.00025776486116940825,0.00016360300660611297,1.2637712426425427e-10,0.0031960979640186507,0.010655435431100504,0.0034420285170336418,4.2187306060818367e-7,
3,2.166639190877984,3.60355568267911e-7,0.00014878791804264765,1.2517859231069378e-10,0.002284421543300548,0.01389522844901126,0.0026244048167832017,1.0368160275340964e-10,
4,2.4682665837791555,8.594022320199682e-11,0.00013426357260948045,1.2516338746091482e-10,0.001574010505976558,0.01856682906872592,0.0019420895527282112,1.0361843957657908e-10,
5,2.668338621971778,7.599819803565716e-11,0.00012070210445794864,1.2515736716003853e-10,0.001042266247902334,0.022949813752960905,0.0013870286477197288,1.0358513956068294e-10,
6,2.769771546215304,7.58591391045113e-11,0.00010831178085207983,1.2514624157845947e-10,0.000662452312966276,0.026961425280400592,0.0009380101105569621,1.0358102133371548e-10,
7,2.810770220870448,7.58519530934844e-11,9.710176327535071e-5,1.251455857675071e-10,0.00039047331029272767,0.029504328556169232,0.0005808854437648104,1.0357948761636062e-10,
8,2.81146134245372,7.585122951223532e-11,8.701474254549791e-5,1.2514555281275354e-10,0.00019659751027846988,0.029636057107383127,0.00029665274114418466,1.0357935967637767e-10,
9,2.788167316429472,7.585409197354601e-11,7.795902293307967e-5,1.2514578763457412e-10,5.420665603078262e-5,0.028669370457748918,6.953994885644009e-5,1.0358003661253846e-10,
10,2.7530668712989232,7.585876384635272e-11,6.983835769741142e-5,1.251461598712181e-10,5.938205814398455e-6,0.028540834280454664,4.599297739909663e-6,1.0358113038613332e-10,
11,2.714564335746975,7.586414645445149e-11,6.256032255955923e-5,1.2515299876057253e-10,6.372820791906238e-7,0.029312631198510134,2.9520575528583134e-7,1.0358240320975729e-10,
12,2.6780534420591953,7.590785213540435e-11,5.603939349034526e-5,1.2515710288649226e-10,6.842988633016056e-8,0.030806483518387797,1.900028193302536e-8,1.0358368201070313e-10,
13,2.646563718137853,7.604643095248221e-11,5.01974751762939e-5,1.2515734664061405e-10,7.385280379709919e-9,0.032934274105453104,1.2754737796709236e-9,1.0358483227603302e-10,
14,2.621355845704052,7.60497353510262e-11,4.496422502559527e-5,1.2515754455036978e-10,8.344707401992589e-10,0.03564845247850012,1.3802868874260613e-10,1.0358576718986033e-10,
15,2.602456365485269,7.605171161236448e-11,4.027640268805839e-5,1.2515768856033912e-10,1.3149318318662227e-10,0.0389290516591662,6.50371974518874e-11,1.0358644889855347e-10,
16,2.589117026477985,7.605296861964116e-11,3.607724456254098e-5,1.2515777960350997e-10,5.605684634035525e-11,0.04277515164692368,6.035414395478056e-11,1.0358688163814672e-10,
17,2.580187609241381,7.605360635420689e-11,3.231585052245752e-5,1.2515782484664313e-10,4.796247460472079e-11,0.04719960335233504,6.005418325272429e-11,1.035870988120242e-10,
18,2.574396106409376,7.605376321016153e-11,2.8946601657849197e-5,1.2515783456600018e-10,4.709415284673912e-11,0.052226067285434774,6.003513537865607e-11,1.0358714843735737e-10,
19,2.570538251142241,7.60535826470314e-11,2.5928623285507096e-5,1.2515781950758576e-10,4.700087679212885e-11,0.05788760604441101,6.003385086430146e-11,1.0358708084474411e-10,
20,2.567586796385527,7.605319127962003e-11,2.3225296704935383e-5,1.251577891472744e-10,4.699051534561679e-11,0.06422624000677553,6.00335348845157e-11,1.0358694053634823e-10,
21,2.5647368955826817,7.60526881837538e-11,2.080381846293579e-5,1.251577508535729e-10,4.698890720398498e-11,0.07129303723466414,6.003318476884428e-11,1.0358676222811018e-10,
22,2.5614061977417006,7.605214268100108e-11,1.8634803977295442e-5,1.2515770972852767e-10,4.6988175610499815e-11,0.07914845163019553,6.003279063821454e-11,1.0358657005340897e-10,
23,2.557207208458841,7.605159728689416e-11,1.669193174067637e-5,1.251576688519207e-10,4.698752759230839e-11,0.08786273795017316,6.00323867455209e-11,1.0358637866289805e-10,
24,2.551906295649917,7.605107304894464e-11,1.4951624270432819e-5,1.2515762970314176e-10,4.698690609174013e-11,0.09751635501459824,6.003199398827716e-11,1.0358619517305503e-10,
25,2.5453797381637417,7.605057540153013e-11,1.3392762159079685e-5,1.2515759261327837e-10,4.698631491837266e-11,0.10820032210797992,6.003162033574982e-11,1.0358602127253443e-10,
26,2.5375733930742936,7.605009948480164e-11,1.1996427861385527e-5,1.2515755716839563e-10,4.698575214480816e-11,0.1200165242023777,6.003126475715945e-11,1.0358585511156104e-10,
27,2.528469419987144,7.604963446130245e-11,1.0745676158500173e-5,1.2515752253180366e-10,4.6985207820921495e-11,0.13307797575083405,6.003092071877115e-11,1.0358569281832158e-10,
28,2.5180612194189873,7.60491667229658e-11,9.625328536837543e-6,1.2515748768028726e-10,4.698466741937301e-11,0.14750905591090832,6.003057886870701e-11,1.035855296147361e-10,
29,2.5063362692546907,7.60486820733018e-11,8.621788997278953e-6,1.2515745156286504e-10,4.698411477886662e-11,0.16344572420837544,6.003022892322688e-11,1.0358536056917919e-10,
30,2.4932657281929056,7.604816705640936e-11,7.722879064539041e-6,1.2515741319619593e-10,4.698353404469093e-11,0.18103571761223983,6.00298608693849e-11,1.0358518105096618e-10,
