#day,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
1,2.4421585543523374,0.0019576277550358346,0.0001831839146869745,0.007796472881448882,0.004939760348354041,0.009820598913183242,0.0049457840653749155,0.0029674901371078855,
2,2.4038168671194766,0.0018500509049347261,0.00018232856039523179,0.006161213109231384,0.0048451829593099145,0.009756814841417634,0.004858807734931046,0.002750610328570166,
3,2.367835222309883,0.0017356833635369098,0.0001814906562349666,0.0042935424055398335,0.004748946004072566,0.009703449554750412,0.004771999299278985,0.0025017480691857997,
4,2.333616141340066,0.0016209561513376243,0.00018065945982055837,0.0024028052217489036,0.004653310184982737,0.009672033099136423,0.004687232202404911,0.0022495702811526895,
5,2.3011174491754955,0.0015087800636901752,0.00017980458644883038,0.0004871428317875189,0.0045584082243797265,0.009648414180519902,0.004605504577065161,0.0020002238098134665,
6,2.270324355306838,0.0014004278357979275,0.00017892785316791428,8.565314153295471e-5,0.004464338643635986,0.00963194696975659,0.004526093682947826,0.0017549334931259576,
7,2.241215644350715,0.0012963951579346926,0.00017803087942228017,1.5060268969749434e-5,0.004371205855161969,0.00962251108647269,0.004448107631025893,0.0015139043323387576,
8,2.213772132374314,0.0011968197618967304,0.00017711518830328753,2.648110506931898e-6,0.004279107690934491,0.009620115268962304,0.004371216150043365,0.0012771319833217998,
9,2.1879759383192927,0.001104493242985468,0.00017618222184324756,4.6571344480688163e-7,0.0041905181002262135,0.009624799919664351,0.0042953499823975595,0.001044570181724192,
10,2.163810105625089,0.0010151653502928142,0.00017523334575160016,8.198832978844569e-8,0.004104572418191127,0.009636615404958894,0.004220490990600196,0.0008168588658548875,
11,2.141258484998722,0.0009291306738484704,0.00017426985265181662,1.4518955891740934e-8,0.004019811568294535,0.009655617376101724,0.004146626306708989,0.000593016715906199,
12,2.120305631999407,0.000846717926668782,0.0001732929649783893,2.6560026830924965e-9,0.0039357764075015084,0.009681865505568722,0.00407374375255551,0.00037261266974166705,
13,2.1009367127149656,0.0007679999500569298,0.00017230383816034612,5.701711169858633e-10,0.003852497543517509,0.009715422960089997,0.0040018314264613055,0.00010927368727237213,
14,2.0831376259645875,0.000692932597084001,0.00017130356527039924,2.0342503844248756e-10,0.0037700831357305726,0.009756356903969296,0.003930877531445645,2.2620204868486454e-5,
15,2.0668936802279996,0.0006214189160990046,0.0001703099320308089,1.3894121487051433e-10,0.003688627200903013,0.00980473311918289,0.003860869860978899,4.682561800093515e-6,
16,2.052190835934488,0.0005533401834495096,0.00016930608172088048,1.2760335630436323e-10,0.003608205260194209,0.00986062125830928,0.0037928859797529053,9.693926363603873e-7,
17,2.0390155090550754,0.000488570191113291,0.00016829298546276405,1.2561000215671036e-10,0.003528877104279482,0.009950183384881916,0.0037258398925120494,2.0075067069645846e-7,
18,2.027354175849252,0.0004269816667101785,0.00016727156813166005,1.252596558179757e-10,0.0034506891823814583,0.010054388953663616,0.0036603299510923597,4.1638482908792065e-8,
19,2.0236117528809334,0.0003684493330068593,0.00016624270896487117,1.2519818251884202e-10,0.00337367680762157,0.010172768840254694,0.003595639278057228,8.701577255659317e-9,
20,2.022685139349513,0.00031284028743826193,0.00016520713095826396,1.2518741593853277e-10,0.003297849754309219,0.010305442382520324,0.0035315384015294944,1.8834967183651104e-9,
21,2.0243282135985092,0.0002600349012308844,0.00016416561238430619,1.2518553384480236e-10,0.0032232225495490074,0.010452760769692046,0.003468027964211446,4.721248940727983e-10,
22,2.0285058924074555,0.00020991500198698355,0.00016311889724012702,1.2518518527572767e-10,0.00314980050724047,0.010615130270429401,0.003405142686465916,1.7996484408694604e-10,
23,2.0352354548757225,0.00016230681619840587,0.00016206769311136553,1.251850784123472e-10,0.003077584242913963,0.010792986466501961,0.003342910441189306,1.1948629662203525e-10,
24,2.0445454937667065,0.00010837814650509682,0.00016101267209360577,1.2518498669090072e-10,0.0030065717699944484,0.010986789571335115,0.0032813520866404665,1.0696667629722714e-10,
25,2.048076113971409,5.359271222099698e-5,0.00015995447250082652,1.2518487127980382e-10,0.0029367591736362683,0.011197024739243994,0.0032204834071262985,1.0437462468930583e-10,
26,2.052531003778028,2.5296795165563294e-5,0.0001588937988103817,1.251848136079978e-10,0.002868159080116684,0.011424363503660941,0.003160324324548863,1.0383772854001154e-10,
27,2.0582205124101933,1.1943834232574179e-5,0.00015783122996690559,1.2518475635126086e-10,0.002800767317382287,0.011669383798093371,0.0031008844857864006,1.0372636985592602e-10,
28,2.0652033579434206,5.639271014118323e-6,0.000156767309108799,1.2518468662978673e-10,0.0027345815457390306,0.011889518977637637,0.0030421704785787798,1.0370304731645499e-10,
29,2.073475298842745,2.662598232858406e-6,0.00015570254887626995,1.2518460258288648e-10,0.002669597490477294,0.012116936202892272,0.0029841881437933523,1.036978866468683e-10,
30,2.083019171740355,1.2571747792251844e-6,0.00015463743280221776,1.2518450422993482e-10,0.0026058077969002,0.012352984344539266,0.002925976938654065,1.0369642505626327e-10,
