Market player,Profit (million $ /year),If involved?
s210,152839.6832760689,Yes
s211,42810.737279545196,Yes
s212,305369.14212370553,Yes
s213,152718.9231548901,Yes
s214,1.2491643382647708e6,Yes
s215,2.3855647195053436e6,Yes
s216,488696.6537812866,Yes
s217,122241.60911009513,Yes
s218,61142.73795208985,Yes
s219,183329.1756635497,Yes
s220,336164.74486746755,Yes
s221,519466.8016897526,Yes
s222,122342.94109995876,Yes
s223,122193.46067878122,Yes
s224,61154.940444899614,Yes
s225,305690.5769919526,Yes
s226,91724.5634142835,Yes
s227,30577.69980718253,Yes
s228,198562.37880719054,Yes
s229,91656.52523185078,Yes
s230,15318.910416009143,Yes
s231,198605.44265342984,Yes
s232,122205.37363898443,Yes
s233,274982.74738059484,Yes
s234,305634.5305815728,Yes
s235,45843.26465864298,Yes
s236,30594.78808622854,Yes
s237,122253.4403385477,Yes
s238,122218.36506052216,Yes
s239,30571.94029234017,Yes
s240,122229.78684543974,Yes
s241,183210.03303643144,Yes
s242,244351.7457966392,Yes
s243,244446.63860640966,Yes
s244,183342.59964706952,Yes
s245,183254.67695397272,Yes
s246,183331.17329776986,Yes
s247,305381.21332024055,Yes
s248,916613.5523722668,Yes
s249,213882.3043634889,Yes
s250,1.3368519091897905e6,Yes
s251,122322.43239308821,Yes
s252,183466.19202673054,Yes
s253,61161.41167930758,Yes
s254,305842.08127829013,Yes
s255,91902.10892911388,Yes
s256,122329.92344658445,Yes
s257,427839.0412218821,Yes
s258,21398.37368928123,Yes
s259,91653.0608437743,Yes
s260,183255.7667413961,Yes
s261,275030.6457202925,Yes
s262,183402.03162801178,Yes
s263,61132.86575077832,Yes
s264,24454.99082509971,Yes
s265,61141.721772212455,Yes
s266,61128.97726430935,Yes
s267,30569.005323634097,Yes
s268,61110.32867579805,Yes
s269,213904.34726163218,Yes
s270,122178.18072996523,Yes
s271,366719.59444862884,Yes
s272,61123.321709237825,Yes
s273,42791.0641633789,Yes
s274,30575.227427159996,Yes
s275,595797.294945754,Yes
s276,61163.23189334039,Yes
s277,61137.98864223949,Yes
s278,61160.438969865456,Yes
s279,61144.919807065104,Yes
s280,91680.87584801314,Yes
s281,122174.25971322622,Yes
s282,30607.951833046132,Yes
s283,30581.99441298719,Yes
s284,61400.85056383982,Yes
s285,183487.416445316,Yes
s286,30568.52430664723,Yes
s287,30594.841596421647,Yes
s288,152827.1143222792,Yes
s289,1.816790610693477e6,Yes
s290,61151.169828977305,Yes
s291,122285.07691832715,Yes
s292,305452.42546249996,Yes
s293,106927.77293117318,Yes
s294,42904.13317363976,Yes
s295,245149.90403868342,Yes
s296,122455.4325787555,Yes
s297,30651.34508882821,Yes
s298,244633.89494544925,Yes
s299,122383.84489562879,Yes
s300,122704.72578255073,Yes
s301,214866.48437526586,Yes
s302,244942.00430126995,Yes
s303,15331.507266101487,Yes
s304,30659.869626806794,Yes
s305,92004.76534513017,Yes
s306,257104.0423017165,Yes
s307,92033.26611133698,Yes
s308,580459.8076711406,Yes
s309,92121.59891090264,Yes
s310,153351.04152684147,Yes
s311,61307.41900002635,Yes
s312,244982.39699749573,Yes
s313,30678.26159102918,Yes
s314,122711.00134792205,Yes
s315,183831.6453462067,Yes
s316,122547.60243443128,Yes
s317,183651.31417408522,Yes
s318,122639.07755686124,Yes
s319,76688.32141892656,Yes
s320,153559.6455124322,Yes
s321,30742.218340263324,Yes
s322,61305.01045277947,Yes
s323,61124.48699044652,Yes
s324,61105.60749979275,Yes
s325,61114.136572733,Yes
s326,61128.22632468045,Yes
s327,183345.81199201776,Yes
s328,91718.37018656172,Yes
s329,366653.575131948,Yes
s330,61132.72006644935,Yes
s331,61147.89957847969,Yes
s332,122698.33094184945,Yes
s333,30697.98939851583,Yes
s334,18434.083479854766,Yes
s335,61358.7861028685,Yes
s336,15319.034007081009,Yes
s337,122423.19779832412,Yes
s338,183318.3972440767,Yes
s339,30588.15929239561,Yes
s340,30611.955923080965,Yes
s341,12267.29899939918,Yes
s342,30607.75710916917,Yes
s343,61129.36693664367,Yes
s344,61150.13473918761,Yes
s345,61330.90057525642,Yes
s346,30693.989620282635,Yes
s347,183787.04619961916,Yes
s348,122643.3921821349,Yes
s349,244814.6507241035,Yes
s350,15319.08920147256,Yes
s351,122434.9874360103,Yes
d1,0.0,No
d2,0.0,No
d3,0.0,No
d4,0.0,No
d5,0.0,No
d6,0.0,No
d7,0.0,No
d8,0.0,No
d9,0.0,No
d10,0.0,No
d11,0.0,No
d12,0.0,No
d13,0.0,No
d14,0.0,No
d15,119.02746770270838,Yes
d16,0.0,No
d17,0.0,No
d18,0.0,No
d19,0.0,No
d20,0.0,No
d21,0.0,No
d22,0.0,No
d23,0.0,No
d24,0.0,No
d25,0.0,No
d26,0.0,No
d27,21.0832393703537,Yes
d28,0.0,No
d29,0.0,No
d30,0.0,No
d31,0.0,No
d32,0.0,No
d33,0.0,No
d34,0.0,No
d35,0.0,No
d36,0.0,No
d37,0.0,No
d38,0.0,No
d39,0.0,No
d40,61.976369979429,Yes
d41,0.0,No
d42,0.0,No
d43,145.9954028397225,Yes
d44,115.6409620421011,Yes
d45,0.0,No
d46,0.0,No
d47,0.0,No
d48,0.0,No
d49,0.0,No
d50,0.0,No
d51,141.1969506912597,Yes
d52,0.0,No
d53,0.0,Yes
d54,0.0,No
d55,0.0,No
d56,0.0,No
d57,31.750375396660655,Yes
d58,58.14529167436092,Yes
d59,0.0,No
d60,0.0,No
d61,47.24276332097454,Yes
d62,0.0,No
d63,0.0,No
d64,0.0,No
d65,0.0,No
d66,0.0,No
d67,106.08100504172835,Yes
d68,83.5383480431506,Yes
d69,0.0,No
d70,0.0,No
d71,0.0,No
d72,0.0,No
d73,0.0,No
d74,0.0,No
d75,0.0,No
d76,0.0,No
d77,67.80824791237033,Yes
d78,0.0,No
d79,0.0,No
d80,0.0,No
d81,0.0,No
d82,0.0,No
d83,0.0,No
d84,30.651519336513843,Yes
d85,84.87600152137195,Yes
d86,0.0,No
d87,0.0,No
d88,0.0,No
d89,0.0,No
d90,0.0,No
d91,0.0,No
d92,60.25407550617458,Yes
d93,0.0,No
d94,86.91531891765305,Yes
d95,0.0,No
d96,0.0,Yes
d97,0.0,No
d98,0.0,No
d99,0.0,No
d100,0.0,No
d101,0.0,No
d102,102.26315801162627,Yes
d103,0.0,No
d104,135.68323026881657,Yes
d105,0.0,No
d106,0.0,No
d107,0.0,No
d108,0.0,No
d109,111.31714271109344,Yes
d110,0.0,No
d111,0.0,No
d112,0.0,No
d113,0.0,No
d114,0.0,No
d115,33.28740690213111,Yes
d116,0.0,No
d117,0.0,No
d118,0.0,No
d119,0.0,No
d120,0.0,No
d121,111.919468852654,Yes
d122,0.0,No
d123,0.0,No
d124,0.0,No
d125,0.0,No
d126,0.0,No
d127,0.0,No
d128,0.0,No
d129,0.0,No
d130,34.89414282160842,Yes
d131,0.0,No
d132,0.0,No
d133,345.0943759106279,Yes
d134,34.05627169828137,Yes
d135,71.35376473120223,Yes
d136,0.0,No
d137,0.0,No
d138,0.0,No
d139,0.0,No
d140,147.98538527562224,Yes
d141,0.0,No
d142,0.0,No
d143,0.0,No
d144,0.0,No
d145,0.0,No
d146,0.0,No
d147,0.0,No
d148,0.0,No
d149,0.0,No
d150,0.0,No
d151,0.0,No
d152,75.41445737987804,Yes
d153,0.0,No
d154,0.0,No
d155,0.0,No
d156,0.0,No
d157,0.0,No
d158,0.0,No
d159,0.0,No
d160,0.0,No
d161,0.0,No
d162,32.294116480865355,Yes
d163,0.0,No
d164,0.0,No
d165,0.0,No
d166,0.0,No
d167,0.0,No
d168,0.0,Yes
d169,0.0,No
d170,0.0,No
d171,0.0,No
d172,0.0,No
d173,0.0,No
d174,0.0,No
d175,0.0,No
d176,0.0,No
d177,13.831029233872844,Yes
d178,20.832571535233566,Yes
d179,540.9327718973091,Yes
d180,0.0,No
d181,0.0,No
d182,0.0,No
d183,0.0,No
d184,0.0,No
d185,0.0,No
d186,0.0,No
d187,0.0,No
d188,0.0,No
d189,0.0,No
d190,30.517114712769125,Yes
d191,0.0,No
d192,0.0,No
d193,0.0,No
d194,0.0,No
