,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-0.5425573827436868,-0.5555504342160678,-0.3888594342160678,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-0.0,-0.35551713110571925,-0.36358406803144,-0.23932091166769948,-0.45193421453803256,-0.5414839528359235,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-0.537843635549557,-0.6315185967018602,-0.46482759670186025,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-0.0,-0.3226940568555753,-0.3980791890801584,-0.24183491017123532,-0.4544482130415684,-0.5514525205850181,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-0.2904167590629578,-0.3575391618589847,-0.26247469896645514,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-0.0,-0.0,-0.0,-0.2535951536062666,-0.3307910906837933,-0.321869849010027,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-0.5765004988201708,-0.6768284859161273,-0.472140780602213,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-0.42703698183253097,-0.2668957147811722,-0.38370921790641055,-0.23141415803429974,-0.33592157738167433,-0.29485360653721776,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-0.53696764970845,-0.5932635271967955,-0.4448595434994853,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-0.24599363838478816,-0.4291092811242161,-0.3132331146213744,-0.15183784643357165,-0.3826022058891964,-0.30280204741668604,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-0.5439029217179129,-0.5778766625438407,-0.41118566254384076,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-0.0,-0.45355442384866407,-0.3470741177137563,-0.3685665794985463,-0.3527011082573244,-0.32595312141102095,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-0.4304255001420135,-0.3873053525690306,-0.22061435256903067,-0.0,-0.0,-0.0,-0.0,797.573568966007,-0.0,-0.32647674365562496,-0.19786805211255143,-0.35395965053535594,-0.35351453884401607,-0.34625302733163155,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-0.5554095327323193,-0.737046626573949,-0.5703556265739491,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-0.0,-0.5076238086260391,-0.3437864611959898,-0.1259366335728607,-0.24184527449913745,-0.23170236549939488,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-0.5401608562154196,-0.46542275400879596,-0.34504618742572446,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-0.32937138858341836,-0.4756487292758806,-0.1439328105190676,-0.24517046594077768,-0.23415978204132276,-0.19405888319021258,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-0.32684822550744164,-0.35903911851610054,-0.24908514844403046,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-0.11515564960619412,-0.10004249512522073,-0.0,-0.18950871301285044,-0.26739183657026167,-0.24474758441794664,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-0.35276002659550865,-0.3130413544430635,-0.19266478785999203,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-0.18570787011584067,-0.3424115702901525,-0.0,-0.144508455970623,-0.19879866962045703,-0.14644935063142323,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-0.18179120368398743,-0.14646252223635942,-0.026085955653287918,-0.0,-0.0,-0.0,-0.0,798.507057728507,-0.0,-0.15670370017431184,-0.0,-0.07790297207249415,-0.10473685623834923,-0.10920955152337142,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-0.407479429087703,-0.5121681412762231,-0.3955991045862861,-0.0,-0.0,-0.0,-0.0,798.109719232489,-0.0,-0.2839684625129121,-0.24746694168652017,-0.18540094447925132,-0.2160012138752131,-0.3013060651369492,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-0.5355499355776514,-0.6480805445563655,-0.48833197735118694,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-0.0,-0.43008690795362997,-0.30207889052093284,-0.32872606964811935,-0.34613456122654557,-0.4382146354917791,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-0.5764242444027501,-0.7154670205603377,-0.5487760205603378,-0.0,-0.0,-0.0,-0.0,797.891535919738,-0.0,-0.5275355651885776,-0.3560614043616885,-0.01677388255879353,-0.27733928278295794,-0.26680397532391303,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-0.5563060236930056,-0.6416246597057774,-0.4749336597057775,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-0.36259277246074073,-0.44299006630204124,-0.36758441728630137,-0.2919665017334357,-0.2740712360613261,-0.310235887801114,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-0.5816271809219531,-0.6833459039774004,-0.5166549039774004,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-0.0,-0.6017137558463241,-0.5554842512357452,-0.0840025715685333,-0.5351810233087164,-0.2542171416639479,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-0.6041039072139874,-0.6955459732349499,-0.5517511997780994,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-0.0,-0.4598142010448292,-0.346862118996938,-0.03608541125735602,-0.4942107860426773,-0.24393795150552397,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-0.3989521510317091,-0.2903672061188843,-0.15465365545853937,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-0.17736588925096824,-0.0,-0.0,-0.1281334722120875,-0.2169198850955235,-0.1772293710023194,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-0.3985020180437117,-0.34843577799485437,-0.24309182002614388,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-0.18374118746455637,-0.25599489725423735,-0.1795635317584846,-0.07243844826062773,-0.1439075916268303,-0.1439075916268303,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-0.5245448508410401,-0.6632814444804259,-0.496590444480426,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-0.0,-0.5188964444804259,-0.383355444480426,-0.26320418054219397,-0.22006709489353532,-0.0946608510076668,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-0.1903197762440733,-0.02049543463071546,-0.0,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-0.0,-0.0,-0.0,-0.00448321811279373,-0.0071527942369893835,-0.06053093990038641,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
