#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.5875183514077604e8,6.645849359054722e9
2.5431221463719704e6,3.17777925329382e8,8.16189079479577e9
1.9092393115614345e6,1.9406266880899236e8,4.984356004350703e9
1.5560973061185484e6,1.427660923992466e8,3.666841408680548e9
1.9210607107483805e6,2.2110104473230714e8,5.678816676299479e9
2.6067928106942493e6,3.316610103471491e8,8.518467557301941e9
2.879117185993429e6,3.6811871190881515e8,9.45485663614417e9
2.9689175106173707e6,3.132257353781404e8,8.044971165401469e9
2.9985296167452415e6,3.164922529254165e8,8.128869250746817e9
2.9679765409505223e6,3.1201799639531016e8,8.013951283588531e9
2.954601455267023e6,3.105425879291642e8,7.976056509223952e9
2.950190953875321e6,3.100560646090711e8,7.963560517868967e9
1.975736618926649e6,1.617180098152805e8,4.1536073794172664e9
1.518594625514945e6,1.1018664161428526e8,2.8300623303803234e9
1.3095575634758798e6,4.119800272705094e7,1.0319069629064918e9
2.0144328727793773e6,2.306865954162994e8,5.778122440459196e9
2.6705833095403537e6,3.177331927962131e8,7.958422066360035e9
2.9001524219983225e6,3.4643724359422994e8,8.677386771477802e9
2.896033307695893e6,3.4341962255499244e8,8.601802909259218e9
1.9277554209616836e6,1.748023104694252e8,4.378360827358833e9
2.523198965042558e6,2.9930507036283606e8,7.496843674361703e9
2.8515516973446854e6,3.353796510556749e8,8.400421725159536e9
2.9598276528829862e6,3.487197589874987e8,8.734558075214544e9
2.99553219069979e6,3.531187262906648e8,8.844741207630198e9
3.007305940599975e6,3.545693077577127e8,8.881074646559923e9
1.8717629334224164e6,1.1849234724786974e8,2.9679370377808437e9
1.3175688923618088e6,3.9116178666022345e7,9.797624752633779e8
1.8667702451244206e6,2.0418606791560408e8,5.114350484574867e9
2.2745849462575396e6,2.7201925193994355e8,7.655617832067623e9
1.6003215532278824e6,1.284614969402552e8,3.61537692533264e9
1.398129175938486e6,1.2024360184410328e8,3.384095264966736e9
2.3214344708447866e6,2.888175013935236e8,8.12838208366824e9
2.7817187902302956e6,3.510668180155895e8,9.880305798505623e9
2.9367999025341e6,3.7159384147479624e8,1.0458011404681868e10
2.3547104200092535e6,2.693785375793203e8,7.581298460168726e9
2.653470013040371e6,2.554871654004307e8,7.190344379506544e9
