#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1834.2392886666682,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,927.259635373746,2.991838500000003,61.92333329029502
2,43922.845652183285,1753.5820379210472,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,893.946646338954,2.991838500000003,57.89898795208796
3,50703.08776939145,1801.5810491875316,1.5374146335247612,5428.940278125,41637.28149613103,1047.143475,496.9686162106203,299.1838500000003,878.0541348067485,2.991838500000003,59.48519443591654
4,51742.50324298437,1829.891189024213,1.578733225498359,5428.940278125,42449.04883872312,1047.143475,505.9862014863353,299.1838500000003,888.2164875682175,2.991838500000003,60.962662363863984
5,61417.40385319246,2000.0089145144539,1.8486735888116164,5428.940278125,50609.78012556852,1047.143475,598.5185102780673,299.1838500000003,945.7555077244235,2.991838500000003,70.82520471660823
6,39907.98426948715,1543.3300082697551,1.2198065521551205,5428.940278125,32636.159098532382,1047.143475,394.0675203625213,299.1838500000003,771.2126722434401,2.991838500000003,47.71413196592108
7,51667.7397078245,1832.8173799234,1.5829833823373634,5428.940278125,42353.025096495214,1047.143475,504.7737539720219,299.1838500000003,889.2882247539899,2.991838500000003,61.118565386453696
8,43122.17831751044,1633.1838871206412,1.318987481427999,5428.940278125,35289.76395216357,1047.143475,424.4464126739704,299.1838500000003,811.2010778046861,2.991838500000003,51.499863184988044
9,58134.52179904959,1973.0277924276188,1.77979415639117,5428.940278125,47721.682163972335,1047.143475,565.4359311931502,299.1838500000003,945.6558769539643,2.991838500000003,69.24925967003415
10,61322.285329670034,1087.1366802153866,1.7339209028566331,5428.940278125,51109.78798409208,1047.143475,606.3714749109309,299.1838500000003,136.34782151176782,2.991838500000003,9.836932946068673
11,64816.42014420711,1126.1437405920278,1.8301619996729037,5428.940278125,54064.756838020534,1047.143475,639.6993728998286,299.1838500000003,139.10794704633204,2.991838500000003,10.354924816105875
12,72263.73192315333,1013.1732155598891,1.9315115896525297,5428.940278125,60901.85788607634,1047.143475,718.6572698710582,299.1838500000003,0.0,2.991838500000003,0.0
13,69041.8969242832,992.4945865815469,1.8737119562190558,5428.940278125,58015.83558675701,1047.143475,685.642228597129,299.1838500000003,0.0,2.991838500000003,0.0
14,48947.6829040912,772.6501363171702,1.3237874740868045,5428.940278125,41020.81962693268,1047.143475,493.2868836964857,299.1838500000003,0.0,2.991838500000003,0.0
15,61439.35325667839,903.4369882437303,1.6362060157786695,5428.940278125,51732.70655064501,1047.143475,615.5444909437142,299.1838500000003,0.0,2.991838500000003,0.0
