,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-17.411444770368913,-23.753212345112654,-18.598398860385846,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-16.07637919227888,-23.815638617750032,-18.59177935500386,-16.39877044720509,-15.878191243006615,-11.32851880562723,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-17.44749622330726,-23.838809334154323,-18.65851041654205,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-16.012972853753762,-23.821176540406473,-18.482342594671746,-16.340404175027963,-15.880726428679809,-11.330299481156867,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-17.174182489472795,-23.55794722226073,-18.949131336605756,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-15.507777204825947,-23.116743835844304,-18.005978563071107,-16.716911826911623,-16.407480058094627,-11.846777270041002,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-16.840211759462917,-24.02329687920908,-18.81746299849794,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-16.620257317598107,-24.253602252573373,-18.875975165758053,-16.55618516591013,-15.598082895502131,-11.047617871790312,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-17.11493841296526,-23.996015642106354,-18.795756327309206,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-16.37358668380906,-24.33172844363422,-18.95279009455771,-16.409674837109208,-15.584508091452266,-11.034054608814579,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-17.776183032038062,-23.982662947994058,-18.548124844237908,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-15.725171967944869,-24.595707662543838,-19.187664363874834,-16.214219151476133,-15.252621062890213,-10.706394246172016,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-17.855097796831416,-23.837030257155405,-18.417035911102687,-0.0,-0.0,-0.0,-0.0,797.573568966007,-15.903482938414557,-24.40513635256903,-18.98349635256903,-16.228672704074878,-15.333600906560578,-10.840456757567509,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-18.028299666037377,-24.151953853047377,-18.917946159797747,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-15.841563483122394,-24.556016706650897,-19.15478245430277,-16.051851108528204,-15.3365760445197,-10.80374184065348,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-16.43834359163079,-23.531191028745038,-18.385370150974165,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-16.31102836723825,-23.47547999440406,-18.515143501212627,-15.40449719665548,-16.204711341132178,-11.6025254833991,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-16.252668168374655,-23.325374798877334,-18.287561144905126,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-15.880540661750036,-23.274912799829107,-18.226582716946858,-15.633013169981288,-16.361650062618192,-11.783240439161373,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-16.637284282148855,-23.34582518543031,-18.2629305092161,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-16.112102863464028,-23.303533702427988,-18.32640223251859,-15.510598898265116,-16.29443493399522,-11.565780178004173,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-16.649667868429948,-23.18516086868785,-18.091911050822507,-0.0,-0.0,-0.0,-0.0,798.507057728507,-15.922228821967138,-23.115574406255977,-18.26822376543099,-15.59843498513934,-16.34744266629638,-11.517538361170615,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-16.40381691731161,-23.315875474360425,-18.276269525823178,-0.0,-0.0,-0.0,-0.0,798.109719232489,-15.711816670637894,-23.28267323639205,-18.228395643804244,-15.732109169029187,-16.353418203150383,-11.68735604104699,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-17.553889931415952,-23.778250564273634,-18.619243688478686,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-15.925843928637551,-23.877045928206492,-18.63185825712719,-16.20473457464557,-15.916818907123348,-11.36710470700553,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-16.765099676088948,-23.076966127675767,-18.124714722567305,-0.0,-0.0,-0.0,-0.0,797.891535919738,-15.471933743801845,-23.49235846577202,-18.39231982070752,-15.91632987208269,-16.414412869182886,-11.860770760443993,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-15.715037611797406,-22.39360879532412,-17.65822801338894,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-15.336552932811534,-22.629288490744376,-17.709839390303408,-16.7141512925368,-17.27049405019504,-12.672923961502477,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-17.40881771573025,-23.360798698007567,-18.309978956845807,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-15.247893112196856,-23.46663462216197,-18.387615537506864,-16.643886783200177,-16.867673328260192,-12.327833773189623,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-17.62966908970848,-23.428041221122655,-18.378277128551062,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-15.292505718455653,-23.370463098999398,-18.259011285009873,-16.62741038632838,-17.017998714956565,-12.485055535791066,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-16.11951157616754,-23.215165854651048,-18.15440455269801,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-15.917392262097087,-23.14846464425713,-18.093426124739743,-15.691127848066264,-16.406761492935708,-11.744012740824367,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-15.5659095136273,-22.202444626572643,-17.552853292520943,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-15.214187711124422,-22.370944797978314,-17.36420105783353,-16.34840505706451,-17.04384088314533,-12.262067450305942,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-17.205788820504992,-23.106021739786488,-18.248490042443255,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-15.44909482725347,-23.476021420247545,-18.360290209879047,-16.290190547777808,-16.498888661080787,-11.947708318373738,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
