#,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
1,2.549301944397602,7.774269598788635e-11,7.278464358078663e-5,1.35497745225263e-10,1.816846249140487e-5,0.028086365354720796,1.7129120958949665e-5,1.071924090660991e-10,
2,0.885988256385703,8.214701495594247e-11,6.435953803784554e-5,1.3775988239955196e-10,3.793207076458674e-6,0.023907765401715478,1.960008780068415e-6,1.1040245730290477e-10,
3,0.5274597114610052,8.876504355130986e-11,5.705247610553704e-5,1.323875136024951e-10,5.654292487170179e-8,0.015071840103745666,9.558681476871177e-9,1.1359525139343272e-10,
4,0.2551759377666566,1.0934682070797167e-10,5.011082325578173e-5,1.3347951739072594e-10,1.3622859528190262e-9,0.009686843614874319,1.5587532587280342e-10,1.1941469900534354e-10,
5,0.13345738610361055,1.5331938596443938e-9,4.386983108521809e-5,1.5661670192759556e-10,3.1706421236024227e-8,0.006425312605418914,3.5615036540066806e-9,2.1867942029078166e-10,
6,0.07780941000809559,4.647419979134378e-8,3.834720086591493e-5,1.5428082338578318e-10,3.4484856202940153e-6,0.004272094309300271,1.1015601569167583e-7,2.8474391185808427e-10,
7,0.34290942568181415,4.140076655676637e-5,3.3939973951651596e-5,1.9223223489723782e-10,0.0006339968884649311,0.0028464209264117643,3.089358416651743e-6,1.9237757386807803e-9,
8,1.670634794895913,0.05049310189094579,2.953980022412037e-5,1.9043806362524785e-10,0.7329052251937631,0.0018629702631375292,0.0006999264507957906,9.946969059089138e-8,
9,0.9306247862968562,0.054918848039116036,2.5816032362153716e-5,1.4634788789837707e-10,2.6164549505803447,0.0012077783126731082,0.0013905867593530135,8.346132769128722e-8,
10,0.7007785191669146,0.023294156320177412,2.196877240870834e-5,1.3486177449765165e-10,3.478801436148826,0.0007707834901889347,0.0009193751369835342,1.2279501692088672e-8,
11,1.2382123977357933,0.009611175376608069,1.863544816953353e-5,1.3339264952210202e-10,3.4223509711426843,0.00048622811955974856,0.0002720141431773984,4.671537242108794e-10,
12,1.671248985238317,0.0036077937776979934,1.588734869006114e-5,1.3178941117069187e-10,1.9771125535617724,0.00030474949269245215,4.1167637897262655e-5,1.1334538494747298e-10,
13,1.3124551031902238,0.00011610745793675342,1.3539998887430773e-5,1.3143246336985728e-10,0.3445886289513491,0.0001889387858125673,1.7525569228807882e-6,1.0511995743503197e-10,
14,1.132362596633277,4.0864597456223406e-7,1.1584847712911656e-5,1.3064986979947725e-10,0.012402401726808154,0.00011727169134735818,1.745714919855944e-8,1.0458494121688805e-10,
15,0.8077835857284629,1.8348613667036299e-10,9.90232416280629e-6,1.2808865483213801e-10,0.000126614714612966,7.28531242320582e-5,1.0494274434706543e-10,1.025405357418909e-10,
