,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-17.76165925535373,-24.188820052812098,-18.989525958210194,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-16.5934202703594,-24.58999375866345,-19.11593927822918,-16.45344004395649,-15.883436899137953,-11.330342175031785,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-17.787438998111096,-24.307141905983467,-19.09896271854231,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-16.513087718417207,-24.60175620967787,-19.13043520321486,-16.405732819316434,-15.880726428679809,-11.330310578956599,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-17.51412526427663,-23.670116344086527,-19.306945847373196,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-15.856409871232415,-23.64130543463707,-18.38333146934231,-16.674858909957337,-16.370614670074794,-11.798452665371677,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-17.285332554777504,-24.50357052306051,-19.25918165986548,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-17.12037218226155,-25.09606283442088,-19.527217620522674,-16.55618516591013,-15.59831782108838,-11.047713933497821,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-17.560059208279846,-24.516991378387818,-19.231900422762752,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-16.874945744546604,-25.15864242264859,-19.615197713258237,-16.409664284042215,-15.584549589379497,-11.034043067740445,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-18.22130382735265,-24.70133681600327,-19.241982399737918,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-16.722002794423044,-25.668999472275196,-20.072381135866863,-16.20792461694459,-15.252621062890213,-10.702156039178394,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-18.300218592146003,-24.552130750402064,-19.03036275275415,-0.0,-0.0,-0.0,-0.0,797.573568966007,-16.866788811296058,-25.406124781920504,-19.808505068297034,-16.166577254364,-15.331821113333104,-10.779375248177333,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-18.473420461351964,-24.945586061875748,-19.569403239313573,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-16.419118825250557,-25.518483617078452,-19.95440272890603,-16.141464996364174,-15.354206864365299,-10.80374184065348,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-16.793944173018286,-24.132605258683363,-18.86085280462952,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-16.710562917200495,-24.104601114108732,-18.79033159928449,-15.40449719665548,-16.21927389899877,-11.623229231531697,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-16.604738067249336,-23.864167284719006,-18.67635982859617,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-16.28007521171228,-23.87340106948669,-18.617050552216824,-15.63420642376209,-16.34552024998145,-11.717922873879655,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-16.99288486353635,-23.951869670524715,-18.674455174333534,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-16.51163741342627,-23.923206667732295,-18.71917920282609,-15.501815262284879,-16.303570263685923,-11.562864202209672,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-17.00173776730463,-23.872592876807932,-18.623052798444398,-0.0,-0.0,-0.0,-0.0,798.507057728507,-16.321763371929382,-23.733447772434925,-18.722922062148143,-15.580781894236335,-16.31960622898748,-11.53410006056155,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-16.75588681618629,-23.849906010830487,-18.688015193453076,-0.0,-0.0,-0.0,-0.0,798.109719232489,-16.111351220600138,-23.865700375467547,-18.692141326008667,-15.714161483598279,-16.3582817818257,-11.76233622563888,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-17.893832706219786,-24.378085922717457,-19.119019856074463,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-16.554524556083365,-24.659653060436796,-19.24141844251463,-16.247390911971124,-15.917818662391568,-11.3671509329308,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-17.075679932866016,-23.576173044632384,-18.44910584676842,-0.0,-0.0,-0.0,-0.0,797.891535919738,-16.139322391541803,-24.07951640532603,-18.855778403193522,-15.933037650311555,-16.40865397376717,-11.839562763008173,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-16.025617868574475,-22.908997565229235,-17.944705118302142,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-15.685504958239656,-23.14774861933793,-18.06281684798412,-16.7141512925368,-17.27082194384215,-12.673662091895348,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-17.74876049053409,-23.724741778681725,-18.59446508760547,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-15.833848617506693,-23.8757794629319,-18.674078844602835,-16.69891844838213,-16.88173036446061,-12.335946585161,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-17.969611864512313,-23.795527167545515,-18.62168025164063,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-15.829140820614231,-23.72052280761667,-18.532486533176083,-16.629174294170152,-17.017998714956565,-12.485055535791066,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-16.47158147504222,-23.911276486083093,-18.6733323259937,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-16.312959918520203,-23.758323864966616,-18.609916583819448,-15.691127848066264,-16.415630860779967,-11.756378300825931,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-15.876489770404369,-22.807041285262056,-17.795599064328297,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-15.563139736552545,-22.882344444625843,-17.67511678137083,-16.34840505706451,-17.043638191546613,-12.262067450305942,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-17.51636907728206,-23.64937359264076,-18.452345486470776,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-15.944051633873393,-24.086503656115216,-18.837213937018138,-16.312901130448477,-16.498173342085554,-11.947708318373738,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-16.042628229745528,-23.152925782525323,-18.34917902698222,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-14.637060942420845,-21.70509626914606,-16.98525805733051,-17.446874439941144,-17.809017620098654,-13.131534973492455,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-16.13089611496096,-23.22058634780188,-18.42430751181907,-0.0,-0.0,-0.0,-0.0,796.4503925186499,-14.54712532977046,-21.626121849060567,-16.901526624382047,-17.456483784475417,-17.776600257029376,-13.141144318026729,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
n24,-15.59346868033675,-22.744986981081304,-17.941240225538202,-0.0,-0.0,-0.0,-0.0,796.5969946958633,-15.08455276439467,-22.11303507059008,-17.288544218275543,-17.648289942188573,-17.89532280453739,-13.259874209331219,96.59699469586329,96.59699469586329,96.59699469586329,-0.0,-0.0,-0.0,
n25,-16.25748987955085,-23.274600113929917,-18.467121797882513,-0.0,-0.0,-0.0,-0.0,796.3739214317461,-14.5194518106102,-21.530045036339242,-16.843546278564897,-17.423756540945675,-17.82622185620929,-13.086599875987575,96.37392143174615,96.37392143174615,96.37392143174615,-0.0,-0.0,-0.0,
n26,-16.36168769701872,-23.455902313242618,-18.643140419427205,-0.0,-0.0,-0.0,-0.0,796.4098909896128,-14.37008060283862,-21.39034660691896,-16.665124406841304,-17.415190966754135,-17.72572934273032,-13.069119327861044,96.40989098961273,96.40989098961273,96.40989098961273,-0.0,-0.0,-0.0,
n27,-16.203020063289127,-22.67654011510403,-17.96623256763605,-0.0,-0.0,-0.0,-0.0,796.2730933868518,-14.662420760187823,-21.93332457785449,-17.114743033752056,-17.40950021231695,-17.82330783573869,-13.203998663748862,96.27309338685171,96.27309338685171,96.27309338685171,-0.0,-0.0,-0.0,
