#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1516.1542509233764,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,629.0868751673754,2.991838500000003,42.0110557533739
2,43922.845652183285,1447.503320332367,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,606.4861241210567,2.991838500000003,39.280792581304915
3,65880.90956584248,1091.8455761528169,1.5374146335247612,5428.940278125,56636.08263657982,1047.143475,675.9892722128557,299.1838500000003,213.35010876811995,2.991838500000003,14.453747439830426
4,62882.161704619655,1182.4940066309905,1.578733225498359,5428.940278125,53457.48837653302,1047.143475,637.2051253117193,299.1838500000003,282.3995019675382,2.991838500000003,19.382465571320694
5,71826.89185245495,1306.6398187471145,1.8486735888116164,5428.940278125,60897.60285931652,1047.143475,720.1837757925658,299.1838500000003,300.6934549207192,2.991838500000003,22.518161752973498
6,49004.04154770891,984.7727478523057,1.2198065521551205,5428.940278125,41623.695754777735,1047.143475,502.5881423389332,299.1838500000003,245.19931525800996,2.991838500000003,15.17022853390191
7,61993.68329914414,1184.5828731831948,1.5829833823373634,5428.940278125,52557.35102545941,1047.143475,626.3914163274682,299.1838500000003,282.7402500303565,2.991838500000003,19.43203336988195
8,52753.66598980163,1044.1979133254365,1.318987481427999,5428.940278125,44806.7859720028,1047.143475,538.912065125927,299.1838500000003,257.3752569977613,2.991838500000003,16.339710196708115
9,68881.19846414929,1271.7033728542829,1.77979415639117,5428.940278125,58342.51663001211,1047.143475,691.2781302530841,299.1838500000003,292.18439958320823,2.991838500000003,21.39631746745397
10,78235.24861222005,1015.029314427428,1.7339209028566331,5428.940278125,67824.44693395312,1047.143475,804.675807599907,299.1838500000003,69.0926396933651,2.991838500000003,4.98474897651266
11,81540.9225249995,1052.4194044731607,1.8301619996729037,5428.940278125,70593.68733260671,1047.143475,835.2712591060362,299.1838500000003,70.49130053703428,2.991838500000003,5.247235206536393
12,88839.44642688267,1013.1732155598891,1.9315115896525297,5428.940278125,77284.25596424083,1047.143475,911.9736954359051,299.1838500000003,0.0,2.991838500000003,0.0
13,88434.78704309082,992.4945865815469,1.8737119562190558,5428.940278125,77182.21378636181,1047.143475,912.1541477999639,299.1838500000003,0.0,2.991838500000003,0.0
14,61106.70453141753,772.6501363171702,1.3237874740868045,5428.940278125,53035.36299394029,1047.143475,637.7651440152113,299.1838500000003,0.0,2.991838500000003,0.0
15,76302.88134477613,903.4369882437303,1.6362060157786695,5428.940278125,66421.45969118344,1047.143475,790.3194385030329,299.1838500000003,0.0,2.991838500000003,0.0
