node,product,amount(tonne/week),time
beef04,p1,5143.636865493,1
beef04,p1,5912.018230986,2
beef04,p1,6042.179600206998,3
beef04,p1,6240.4715655169975,4
beef04,p1,5832.070342926988,5
beef04,p1,4699.506533036985,6
beef04,p1,4897.798498346985,7
beef04,p1,5096.090463656985,8
beef04,p1,4334.063885032982,9
beef04,p1,3079.4161445829795,10
beef04,p1,1824.768404132977,11
beef04,p1,2023.060369442977,12
beef04,p1,847.7294151169742,13
beef04,p1,975.7233668489689,14
beef04,p1,347.2425000000001,15
beef11,p1,175.35401736000006,1
beef11,p1,274.50000000000006,2
beef11,p1,99.14598264,4
beef11,p1,198.29196528,5
beef11,p1,175.35401736000006,6
beef11,p1,274.50000000000006,7
beef11,p1,274.50000000000006,8
beef11,p1,99.14598264,10
beef11,p1,198.29196528,11
beef11,p1,99.14598264,13
beef11,p1,198.29196528,14
beef11,p1,13.725000000000005,15
beef14,p1,1100.6644031399999,1
beef14,p1,1322.1750000000002,2
beef14,p1,439.3191321204236,3
beef14,p1,538.4651147604236,4
beef14,p1,637.6110974004237,5
beef14,p1,736.7570800404237,6
beef14,p1,835.9030626804238,7
beef14,p1,935.0490453204238,8
beef14,p1,1034.1950279604239,9
beef14,p1,99.14598264,11
beef14,p1,198.29196528,12
beef14,p1,297.43794792,13
beef14,p1,396.58393056,14
beef14,p1,66.10875000000001,15
beef16,p1,4909.482826547997,1
beef16,p1,5674.474757027997,2
beef16,p1,5872.766722337997,3
beef16,p1,5231.594525648734,4
beef16,p1,4590.42232895947,5
beef16,p1,4460.371875645583,6
beef16,p1,3819.19967895632,7
beef16,p1,3178.027482267057,8
beef16,p1,3376.319447577057,9
beef16,p1,2735.147250887794,10
beef16,p1,2093.9750541985313,11
beef16,p1,2292.267019508531,12
beef16,p1,1390.7948001034247,13
beef16,p1,104.07053469000007,14
beef16,p1,302.36250000000007,15
beef19,p1,2364.0739305,1
beef19,p1,3123.000000000001,2
beef19,p1,3123.000000000001,3
beef19,p1,2066.644224739998,4
beef19,p1,1616.9816373800054,5
beef19,p1,2013.5655678800053,6
beef19,p1,957.2097926200026,7
beef19,p1,396.5839305,9
beef19,p1,793.167861,10
beef19,p1,1189.7517915,11
beef19,p1,430.8339641599973,12
beef19,p1,827.4178946599973,13
beef19,p1,156.15000000000003,15
beef20,p1,1201.6580346900002,1
beef20,p1,1399.9500000000003,2
beef20,p1,1399.9500000000003,3
beef20,p1,198.29196531,5
beef20,p1,396.58393062,6
beef20,p1,594.87589593,7
beef20,p1,793.16786124,8
beef20,p1,991.45982655,9
beef20,p1,49.083043119067895,10
beef20,p1,247.3750084290679,11
beef20,p1,445.6669737390679,12
beef20,p1,643.9589390490679,13
beef20,p1,842.2509043590679,14
beef20,p1,69.99750000000002,15
beef28,p1,8994.159211767002,1
beef28,p1,10990.500000000002,2
beef28,p1,10078.248272855608,3
beef28,p1,9556.821042674163,4
beef28,p1,9006.70701506915,5
beef28,p1,8094.455287924756,6
beef28,p1,7725.857740013654,7
beef28,p1,7204.430509832209,8
beef28,p1,6319.276649737707,9
beef28,p1,5347.537333003313,10
beef28,p1,4402.89588331881,11
beef28,p1,3431.1565665844155,12
beef28,p1,2459.417249850021,13
beef28,p1,1487.6779331156267,14
beef28,p1,549.5250000000001,15
beef30,p1,944.4363566519978,1
beef30,p1,1152.9000000000003,2
beef30,p1,475.55758106391977,3
beef30,p1,673.8495463739198,4
beef30,p1,641.06241913939,5
beef30,p1,579.3982918953864,6
beef30,p1,546.6111646608565,7
beef30,p1,731.6739013610945,8
beef30,p1,698.8867741265647,9
beef30,p1,620.7584211220985,10
beef30,p1,819.0503864320985,11
beef30,p1,840.072639098136,12
beef30,p1,1038.364604408136,13
beef30,p1,792.8431352539607,14
beef30,p1,57.645000000000024,15
beef33,p1,3911.2047066,1
beef33,p1,4159.0696632,2
beef33,p1,4307.78863716,3
beef33,p1,4555.65359376,4
beef33,p1,4803.5185503600005,5
beef33,p1,5051.383506960001,6
beef33,p1,5280.137733439922,7
beef33,p1,5528.0026900399225,8
beef33,p1,5775.867646639923,9
beef33,p1,4642.686032025771,10
beef33,p1,3550.151217986455,11
beef33,p1,2853.1168735462807,12
beef33,p1,1719.9352589321284,13
beef33,p1,681.7977914691221,14
beef33,p1,290.74125000000004,15
beef39,p1,426.20182950900016,1
beef39,p1,594.7500000000001,2
beef39,p1,19.829196531,4
beef39,p1,39.658393062,5
beef39,p1,59.487589593,6
beef39,p1,79.316786124,7
beef39,p1,99.14598265500001,8
beef39,p1,19.829196531,10
beef39,p1,39.658393062,11
beef39,p1,59.487589593,12
beef39,p1,9.908303469000007,14
beef39,p1,29.737500000000008,15
beef41,p1,15743.38836267,1
beef41,p1,15956.552225340001,2
beef41,p1,14912.877163765163,3
beef41,p1,13869.20210219032,4
beef41,p1,12825.527040615481,5
beef41,p1,11781.851979040643,6
beef41,p1,10738.176917465804,7
beef41,p1,9694.501855890965,8
beef41,p1,8650.826794316126,9
beef41,p1,7373.6165238576195,10
beef41,p1,6096.406253399113,11
beef41,p1,4819.195982940606,12
beef41,p1,3724.7950898339195,13
beef41,p1,2489.455617419416,14
beef41,p1,1232.5575000000003,15
