#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.1388032477926347e8,6.645849359054722e9
2.5431221463719704e6,2.626703916521058e8,8.16189079479577e9
1.9092393115614345e6,1.6040924544483382e8,4.984356004350703e9
1.5560973061185484e6,1.180082769005463e8,3.666841408680548e9
1.9210607107483805e6,1.8275875504671204e8,5.678816676299479e9
2.6067928106942493e6,2.741459382155636e8,8.518467557301941e9
2.879117185993429e6,3.04281318884351e8,9.45485663614417e9
2.9689175106173707e6,2.5890762079214743e8,8.044971165401469e9
2.9985296167452415e6,2.6160767443052447e8,8.128869250746817e9
2.9679765409505223e6,2.5790932214914158e8,8.013951283588531e9
2.954601455267023e6,2.566897719892376e8,7.976056509223952e9
2.950190953875321e6,2.5628761922515163e8,7.963560517868967e9
1.975736618926649e6,1.3367364309949829e8,4.1536073794172664e9
1.518594625514945e6,9.107859923767479e7,2.8300623303803234e9
1.3095575634758798e6,3.400710343108173e7,1.0319069629064918e9
2.0144328727793773e6,1.9042143772021064e8,5.778122440459196e9
2.6705833095403537e6,2.6227449962796077e8,7.958422066360035e9
2.9001524219983225e6,2.8596840612256473e8,8.677386771477802e9
2.896033307695893e6,2.834774953015463e8,8.601802909259218e9
1.9277554209616836e6,1.442914670283903e8,4.378360827358833e9
2.523198965042558e6,2.470629111006121e8,7.496843674361703e9
2.8515516973446854e6,2.7684085943908226e8,8.400421725159536e9
2.9598276528829862e6,2.878525202039243e8,8.734558075214544e9
2.99553219069979e6,2.914836704094291e8,8.844741207630198e9
3.007305940599975e6,2.926810603487409e8,8.881074646559923e9
1.8717629334224164e6,9.781011801341775e7,2.9679370377808437e9
1.3175688923618088e6,3.22886510430433e7,9.797624752633779e8
1.8667702451244206e6,1.6854644087472928e8,5.114350484574867e9
2.2745849462575396e6,1.9559767558880427e8,9.149285613977938e9
1.6003215532278824e6,9.23712936675515e7,4.320763760371774e9
1.398129175938486e6,8.646214875381273e7,4.044357333825897e9
2.3214344708447866e6,2.0767659472283143e8,9.71428967515955e9
2.7817187902302956e6,2.5243747672450608e8,1.1808026691890879e10
2.9367999025341e6,2.6719760140959316e8,1.2498446943743393e10
2.3547104200092535e6,1.9369884825526714e8,9.06046598177187e9
2.653470013040371e6,1.8371014308255506e8,8.593233862249727e9
2.887909114601272e6,2.0237833641701663e8,9.466458107884495e9
2.8919960158540667e6,2.0120974717062604e8,9.411796125074804e9
2.3073681996902567e6,1.451023297588428e8,6.78731306095977e9
2.4142652784654056e6,1.6175546176265344e8,7.566280707745352e9
2.789229820251906e6,1.951386704584464e8,9.127815169488844e9
2.939276702245693e6,2.0614695047222617e8,9.642738967338314e9
2.988755411953737e6,2.2709792508386767e8,1.0410192913737377e10
3.00507126391842e6,2.2839378356181026e8,1.0469595203473415e10
2.325981160023159e6,1.5776665539865807e8,7.232040175834378e9
2.717216960782779e6,2.0553145066383904e8,9.421583444501724e9
1.8395730865402184e6,1.0164812965881504e8,4.659561018349541e9
2.4043995536447624e6,1.790967933361583e8,8.209815955705559e9
2.725956207847854e6,2.046358774973729e8,9.380530275795597e9
1.739129618267274e6,8.722850260627796e7,3.9985637886054964e9
2.3678799490727508e6,1.852543256949245e8,8.492077890523607e9
2.496920397232525e6,1.9015801366002306e8,8.716863465674046e9
2.4823801102378704e6,1.881173153433592e8,8.623317638923914e9
2.768073154639982e6,2.185229162306072e8,1.0017113600632774e10
2.929000129810549e6,2.327329335688078e8,1.066850229889407e10
2.651261012022955e6,2.0215660809652147e8,9.266880304143688e9
2.8640802924391893e6,2.2504185533925948e8,1.0888582947298548e10
1.9649497439185628e6,1.2057893275961591e8,5.834175642884355e9
2.3155414065347128e6,1.7495998544298562e8,8.465386632553899e9
2.7632752420679647e6,2.167463671457411e8,1.0487208229038734e10
2.930718050293091e6,2.305256354820585e8,1.1153914011422596e10
2.9859331536713387e6,2.3506941812480685e8,1.1373763577297684e10
3.004140610135946e6,2.365677531742903e8,1.1446260071092361e10
2.9698267940811673e6,2.0263962190206483e8,9.804657574314453e9
2.995529401367588e6,2.051962573016768e8,9.928359614420319e9
3.0073050208037323e6,2.060393206101963e8,9.969150980767698e9
3.0111880902015856e6,2.0631732495226225e8,9.982602137814602e9
3.0124685517543983e6,2.064089982743325e8,9.987037724118809e9
3.0128907903549084e6,2.0643922801073498e8,9.988500380884579e9
3.0130300256450037e6,2.064491964174899e8,9.988982699267704e9
3.013075939178215e6,2.4657342859032574e8,1.0291291242154734e10
3.0130910793954004e6,2.4657472318761805e8,1.0291345275056221e10
2.0289997996762274e6,1.3162187199540181e8,5.493531992828184e9
3.125157943754258e6,1.2180894340420273e8,5.083967561462445e9
1.5186240998880486e6,8.626964129015437e7,3.60065563004476e9
2.3948859781847605e6,1.9371374766095862e8,8.085074722712486e9
1.6218514034138613e6,7.199183206190665e7,3.0047394605374885e9
1.680628124596034e6,1.2408583861307217e8,5.178998854397396e9
2.3891929732134333e6,2.047881540980399e8,8.547289741701228e9
2.2751568349585785e6,1.832850856008432e8,7.64981128358104e9
2.6017420693740416e6,2.2430940184222144e8,9.362052496529188e9
2.8675515103435507e6,2.5147966307127145e8,1.049606386601115e10
1.8645226718096149e6,8.306998865289919e7,3.4671110005525393e9
1.2598642360406304e6,2.753605631222051e7,1.1492786420237696e9
2.0046463618400309e6,1.629811465876361e8,7.383921425533371e9
