#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.8470796103291565e8,6.645849359054722e9
2.5431221463719704e6,3.496551246972815e8,8.16189079479577e9
1.9092393115614345e6,2.1352964209569508e8,4.984356004350703e9
1.5560973061185484e6,1.5708736152349296e8,3.666841408680548e9
1.9210607107483805e6,2.4328031371732917e8,5.678816676299479e9
2.6067928106942493e6,3.6493086110357445e8,8.518467557301941e9
2.879117185993429e6,4.050457374673355e8,9.45485663614417e9
2.9689175106173707e6,3.4464629174138224e8,8.044971165401469e9
2.9985296167452415e6,3.4824048287072146e8,8.128869250746817e9
2.9679765409505223e6,3.433174010570921e8,8.013951283588531e9
2.954601455267023e6,3.416939902091706e8,7.976056509223952e9
2.950190953875321e6,3.4115866236354077e8,7.963560517868967e9
1.975736618926649e6,1.779403991927625e8,4.1536073794172664e9
1.518594625514945e6,1.2123977420295443e8,2.8300623303803234e9
1.3095575634758798e6,4.5336707951026395e7,1.0319069629064915e9
2.0144328727793773e6,2.5386111248878992e8,5.778122440459195e9
2.6705833095403537e6,3.496523135741883e8,7.958422066360032e9
2.9001524219983225e6,3.8123994117504376e8,8.6773867714778e9
2.896033307695893e6,3.779191733050773e8,8.601802909259214e9
1.9277554209616836e6,1.923627548505739e8,4.378360827358832e9
2.523198965042558e6,3.293729225953825e8,7.496843674361701e9
2.8515516973446854e6,3.690715152714077e8,8.400421725159534e9
2.9598276528829862e6,3.837517555089557e8,8.734558075214542e9
2.99553219069979e6,3.8859263814181215e8,8.844741207630194e9
3.007305940599975e6,3.9018894339880335e8,8.88107464655992e9
1.8717629334224164e6,1.3039595577484016e8,2.9679370377808423e9
1.3175688923618088e6,4.3045746175874606e7,9.797624752633777e8
1.8667702451244206e6,2.2469837166838875e8,5.114350484574865e9
2.2745849462575396e6,3.2019573773809505e8,8.991504233342756e9
1.6003215532278824e6,1.5121291412420452e8,4.246251268328856e9
1.398129175938486e6,1.4153957312278312e8,3.974611529526361e9
2.3214344708447866e6,3.3996907303748447e8,9.54676467905547e9
2.7817187902302956e6,4.13243173004112e8,1.1604394754641346e10
2.9367999025341e6,4.374056739051107e8,1.2282908562083668e10
2.3547104200092535e6,3.1708733464961797e8,8.904216314626492e9
2.653470013040371e6,3.007357046407389e8,8.445041712598684e9
