,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n27,-0.015469499989968287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.9388346545358,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2888346545357161,0.2888346545357161,0.2888346545357161,-0.0,-0.0,-0.0,
n28,-0.007316165496291363,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.5864744067336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n29,-0.014988012953604165,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.7867334056925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.13673340569248996,0.13673340569248996,0.13673340569248996,-0.0,-0.0,-0.0,
n30,-0.03003133946543646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.6033086332295,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n31,-0.016756950306208537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.4104200302004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n32,-0.0026531759466112887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.3443942338496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n33,-0.019761419829220833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.745412558637,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n34,-0.006800271568154101,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.2264525247239,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n35,-0.007671153511475401,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.3307282752287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n36,-0.014080974610162375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.1998140965995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n37,-0.017896100388663606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.6615552596656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n38,-0.020100531033715743,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.2363955239598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n39,-0.007188440940548787,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.5125429731057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n40,-0.004695144612799598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,996.5045435307917,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n41,-0.021627903802219826,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.6484811963062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n42,-0.020051068204442968,-0.0010117929674591242,-0.0010116262764591245,-0.0,-0.0,-0.0,-0.0,998.7138886086356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n43,-0.007351398016618017,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.3620313474732,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n44,-0.014165635000168354,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.3976119372119,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n45,-0.003420951928217394,-0.0014804901330654745,-0.001480323442065475,-0.0,-0.0,-0.0,-0.0,999.615722777218,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n46,-0.009087717314799355,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.8133758112314,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16337581123141096,0.16337581123141096,0.16337581123141096,-0.0,-0.0,-0.0,
n47,-0.011149197429505483,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.7364505023864,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08645050238649826,0.08645050238649826,0.08645050238649826,-0.0,-0.0,-0.0,
n48,-0.00615420901294751,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.8000458870807,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n49,-0.011738705807935183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.7823496216929,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n50,-0.00660114752558698,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.4975836884365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n51,-0.004202930511964453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.3647715303324,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n52,-0.023945990825359042,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.6002031273433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n53,-0.01891300701193411,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.2175356218067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n54,-0.00905779029724556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.0602030689506,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n55,-0.023680580544261153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.8639120638394,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n56,-0.0,-0.012269038376045979,-0.012268871685045979,-0.0,-0.0,-0.0,-0.0,997.0813181738255,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n57,-2.892945473530542e-5,-0.013556778990689774,-0.013556612299689774,-0.0,-0.0,-0.0,-0.0,997.1928135812016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n58,-0.0,-0.011289728901327921,-0.011289728901327921,-0.0,-0.0,-0.0,-0.0,997.3006514388105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n59,-0.0,-0.00887094559952436,-0.008870778908524361,-0.0,-0.0,-0.0,-0.0,997.0547396640459,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n60,-0.0,-0.004199750750910052,-0.004199584059910052,-0.0,-0.0,-0.0,-0.0,996.7380558567805,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n61,-0.0,-0.02365327543154135,-0.02365310874054135,-0.0,-0.0,-0.0,-0.0,996.7256367382155,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n62,-0.0,-0.0035399999091058555,-0.0035398332181058555,-0.0,-0.0,-0.0,-0.0,996.8512932596254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n63,-0.0,-0.011819726567431145,-0.011819559876431145,-0.0,-0.0,-0.0,-0.0,997.3342869031491,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n64,-0.0,-0.005369437599652947,-0.005369270908652947,-0.0,-0.0,-0.0,-0.0,997.4069133491276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n65,-0.0,-0.018895171947229124,-0.018895005256229124,-0.0,-0.0,-0.0,-0.0,997.2989332096391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n66,-0.0,-0.007495843443659062,-0.0074956767526590615,-0.0,-0.0,-0.0,-0.0,997.4883126209166,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n67,-0.0,-0.011905051650094242,-0.011904884959094243,-0.0,-0.0,-0.0,-0.0,997.343213922844,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n68,-0.0,-0.010266556208475944,-0.010266389517475945,-0.0,-0.0,-0.0,-0.0,996.7876400888407,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n69,-0.0,-0.015583521948317134,-0.015583355257317135,-0.0,-0.0,-0.0,-0.0,997.622751776447,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n70,-0.0,-0.0006814739831322145,-0.0006813072921322144,-0.0,-0.0,-0.0,-0.0,997.711163523622,0.0013188709588677857,0.0013186684018677858,0.001318803942867786,0.0001356653421294857,0.00013503956912948566,0.00013545830512948562,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n71,-0.0,-0.009339321385587374,-0.009339154694587374,-0.0,-0.0,-0.0,-0.0,997.9518252079076,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n72,-0.0,-0.005696428194647101,-0.005696261503647101,-0.0,-0.0,-0.0,-0.0,998.466621291639,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n73,-0.0,-0.02345213992014851,-0.02345197322914851,-0.0,-0.0,-0.0,-0.0,998.4259872815745,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n74,-0.0,-0.003984248798332048,-0.003984082107332048,-0.0,-0.0,-0.0,-0.0,998.1604874134975,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n75,-0.0,-0.010753522361509288,-0.010753355670509288,-0.0,-0.0,-0.0,-0.0,997.6209875101883,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n76,-0.0,-0.009322572439923342,-0.009322405748923342,-0.0,-0.0,-0.0,-0.0,997.7872713629644,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
