#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.1498178110523173e8,6.645849359054722e9
2.5431221463719704e6,2.6402311058419257e8,8.16189079479577e9
1.9092393115614345e6,1.6123533254901865e8,4.984356004350703e9
1.5560973061185484e6,1.1861600443809734e8,3.666841408680548e9
1.9210607107483805e6,1.8369993926774803e8,5.678816676299479e9
2.6067928106942493e6,2.755577547451938e8,8.518467557301941e9
2.879117185993429e6,3.0584832877132887e8,9.45485663614417e9
2.9689175106173707e6,2.602409619354117e8,8.044971165401469e9
2.9985296167452415e6,2.6295492050479868e8,8.128869250746817e9
2.9679765409505223e6,2.592375221820364e8,8.013951283588531e9
2.954601455267023e6,2.5801169149474004e8,7.976056509223952e9
2.950190953875321e6,2.5760746769533807e8,7.963560517868967e9
1.975736618926649e6,1.3436204527000704e8,4.1536073794172664e9
1.518594625514945e6,9.15476423784789e7,2.8300623303803234e9
1.3095575634758798e6,3.4183617692695215e7,1.0319069629064918e9
2.0144328727793773e6,1.9140982238351133e8,5.778122440459196e9
2.6705833095403537e6,2.6363583843576896e8,7.958422066360035e9
2.9001524219983225e6,2.8745272842463344e8,8.677386771477802e9
2.896033307695893e6,2.849488885023404e8,8.601802909259218e9
1.9277554209616836e6,1.450404135480861e8,4.378360827358833e9
2.523198965042558e6,2.483452939831585e8,7.496843674361703e9
2.8515516973446854e6,2.7827780510507715e8,8.400421725159536e9
2.9598276528829862e6,2.893466220218092e8,8.734558075214544e9
2.99553219069979e6,2.929966197542323e8,8.844741207630198e9
3.007305940599975e6,2.9420022475980014e8,8.881074646559923e9
1.8717629334224164e6,9.831780255627967e7,2.9679370377808437e9
1.3175688923618088e6,3.245624565776575e7,9.797624752633779e8
1.8667702451244206e6,1.6942128311522996e8,5.114350484574867e9
2.2745849462575396e6,2.2135620920194915e8,8.263202408941759e9
1.6003215532278824e6,1.0453579953738245e8,3.9023096468456573e9
1.398129175938486e6,9.784847100041154e7,3.65267242422016e9
2.3214344708447866e6,2.3502581822320375e8,8.773487377233168e9
2.7817187902302956e6,2.856813238707032e8,1.066445170934595e10
2.9367999025341e6,3.023852301814693e8,1.1288006654398035e10
2.3547104200092535e6,2.1920732262026793e8,8.182984714383704e9
2.653470013040371e6,2.079031907832636e8,7.761002743499343e9
2.887909114601272e6,2.2902982481266117e8,8.549657617170771e9
2.8919960158540667e6,2.277073424011678e8,8.500289497397516e9
2.3073681996902567e6,1.6421106010130462e8,6.129980416162784e9
2.4142652784654056e6,1.8305726653298363e8,6.833507183932768e9
2.789229820251906e6,2.2083675703896e8,8.243811318084101e9
2.939276702245693e6,2.3329473296504685e8,8.708866159121162e9
2.988755411953737e6,2.7390956715582633e8,9.639798649580238e9
3.00507126391842e6,2.7547254063811326e8,9.694804941694555e9
2.325981160023159e6,1.90287059099769e8,6.696841422479428e9
2.717216960782779e6,2.4789760041819248e8,8.724350078600904e9
1.8395730865402184e6,1.2260083480182874e8,4.3147356042796755e9
2.4043995536447624e6,2.160139733711218e8,7.602258038722573e9
2.725956207847854e6,2.4681742296482062e8,8.686335002076042e9
1.739129618267274e6,1.0520889340452072e8,3.702654708616873e9
2.3678799490727508e6,2.2344075643184236e8,7.863631506114934e9
2.496920397232525e6,2.2935524044789553e8,8.071782085238293e9
2.4823801102378704e6,2.2689389346550193e8,7.985159009004054e9
2.768073154639982e6,2.635669937373923e8,9.275808715575903e9
2.929000129810549e6,2.807061186190745e8,9.878992147994806e9
2.651261012022955e6,2.4382710234344503e8,8.58109556488855e9
2.8640802924391893e6,2.5930458459958476e8,9.839355407623335e9
1.9649497439185628e6,1.3893713248834413e8,5.271992502484499e9
2.3155414065347128e6,2.0159772624718565e8,7.649659110261604e9
2.7632752420679647e6,2.4974610439229965e8,9.476657293120493e9
2.930718050293091e6,2.6562327287124106e8,1.0079119080567305e10
2.9859331536713387e6,2.708588485774245e8,1.0277783867833624e10
3.004140610135946e6,2.7258530584916884e8,1.0343294574938934e10
2.9698267940811673e6,2.3349160049146235e8,8.859877450597052e9
2.995529401367588e6,2.3643748484381786e8,8.971659520232811e9
3.0073050208037323e6,2.3740890494110253e8,9.008520216707006e9
3.0111880902015856e6,2.3772923557616436e8,9.020675215706308e9
3.0124685517543983e6,2.378348662050198e8,9.024683387412352e9
3.0128907903549084e6,2.3786969843313393e8,9.026005102076918e9
3.0130300256450037e6,2.3788118453454736e8,9.026440944097332e9
3.013075939178215e6,2.966569000732176e8,9.58500970785419e9
3.0130910793954004e6,2.9665845762636423e8,9.585060032529018e9
2.0289997996762274e6,1.583566272782149e8,5.116516114710694e9
3.125157943754258e6,1.465505174587273e8,4.735059700907907e9
1.5186240998880486e6,1.0379254772859888e8,3.353546057199415e9
2.3948859781847605e6,2.3306047294392118e8,7.530203730751687e9
1.6218514034138613e6,8.661466019341728e7,2.798527047884257e9
1.680628124596034e6,1.492898907898944e8,4.823569086552377e9
2.3891929732134333e6,2.463842893119607e8,7.960697372402381e9
2.2751568349585785e6,2.2051356318015596e8,7.124812007654808e9
2.6017420693740416e6,2.698706514656539e8,8.71954373393912e9
2.8675515103435507e6,3.0255967848884284e8,9.775728981207067e9
1.8645226718096149e6,9.994298843867117e7,3.2291664686720266e9
1.2598642360406304e6,3.312912162728224e7,1.0704047414093859e9
2.0046463618400309e6,1.8800652877896896e8,6.947068071060648e9
2.300019503696309e6,2.1211462201016778e8,7.837891202727071e9
2.7449565923950677e6,2.6794840266724798e8,9.901016762294315e9
2.924677383953579e6,2.863598710584981e8,1.05813427330619e10
2.7525220606217906e6,1.3441870661350235e8,4.966933387540906e9
2.4948647796676913e6,2.4232778601510388e8,8.954304065341925e9
2.086019596698993e6,1.7583825675556228e8,6.497435738594302e9
2.628188266809781e6,2.153721623578967e8,7.958261248846612e9
2.7676567917107884e6,2.2480542894563812e8,8.306831830640326e9
2.922262719758289e6,2.40718814443363e8,8.89485062451793e9
2.9831449661431606e6,2.4596633289260826e8,9.08875276242672e9
2.8097113740722598e6,2.2670503141465157e8,8.377024433769051e9
3.318756513334022e6,1.4378281372391734e8,5.312948443205467e9
2.571964427169196e6,2.0966359012097603e8,7.747322617214948e9
2.864332296205431e6,2.487569188828453e8,8.509255275291196e9
2.964042119271911e6,2.5782612880216834e8,8.819486736169949e9
1.828433433808378e6,1.0447183060173675e8,3.5736793961732173e9
2.4409462008724315e6,2.102473993850784e8,7.191955907671879e9
1.6461364396506608e6,7.423704537403461e7,2.5394347735451035e9
2.3313320131922583e6,2.002773277548765e8,6.850908571198467e9
2.7882826104631517e6,2.4183974118576494e8,8.272638617256738e9
1.9865268794958817e6,1.6742230150513604e8,5.727033075831433e9
2.5623794842873407e6,2.685380369712628e8,9.18591015669491e9
2.864471669503809e6,3.01881456411668e8,1.0326492171634315e10
2.9640880783140445e6,3.1287661571950126e8,1.0702604795005854e10
1.8717378374054935e6,1.0394138436104226e8,3.5555343632947e9
1.1875345022367043e6,4.278210638526608e7,1.463452217055096e9
3.061026656050586e6,1.402144906326281e8,4.79633249779023e9
2.4810937476654113e6,2.1614214032892588e8,7.871797490851492e9
2.83766729135027e6,2.48914762840254e8,9.06536135239511e9
2.9552492005716963e6,2.5972169900622135e8,9.458945004641703e9
2.9940224231537245e6,2.632853402514383e8,9.588731182245495e9
2.3735798323481125e6,1.8878440788348886e8,6.875441438803286e9
2.73951297331266e6,2.398934137528791e8,8.736807961547665e9
2.922882323338119e6,2.567468640297263e8,9.350602880944607e9
2.98334928352219e6,2.6548394288629568e8,9.668803280532814e9
3.0032885660325685e6,2.6733877382935107e8,9.736355371676529e9
3.0098636441548746e6,2.679504136086618e8,9.758631011552937e9
3.012031809047064e6,2.6815210488464344e8,9.765976515200596e9
3.0127467722630557e6,2.6821861359153792e8,9.768398731762602e9
1.9370255197931193e6,1.2812006551210693e8,4.666073948796561e9
2.3978400051164473e6,2.0822471378033692e8,7.583448451907311e9
2.8003137849592264e6,1.6005601986454475e8,1.0714031068790375e10
2.9429316950378157e6,1.6860253765492532e8,1.128612862072001e10
2.9899606641052207e6,1.7142079463664904e8,1.1474780649475801e10
3.005468701842726e6,1.723501289702152e8,1.1536989599389387e10
3.010582554840932e6,1.726565816142238e8,1.1557503311724604e10
2.187777572397106e6,6.0978805089868866e7,4.081875913342586e9
2.397738976411837e6,1.3593133060697973e8,9.09914229141599e9
2.810180638679895e6,1.562555427977735e8,1.0459629957204119e10
2.94618533939543e6,1.6418294788837922e8,1.0990284564931566e10
2.991033569603319e6,1.667970493612268e8,1.1165270575584352e10
3.0058224977962254e6,1.6765906239477822e8,1.122297308768598e10
3.954668829224754e6,1.2496735398675416e8,8.365221841276087e9
2.2180708717384203e6,1.1240968499850711e8,7.524620807928338e9
2.6981332843069206e6,1.497245570099877e8,1.0022450620248323e10
2.9092371639524754e6,1.4987765488414153e8,1.053968161617178e10
2.978849723976593e6,1.5363090935072553e8,1.0803617605381443e10
3.0018048137705266e6,1.5486856378076044e8,1.0890651817742823e10
