#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1523.9622514608109,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,636.4060910866687,2.991838500000003,42.49984037151524
2,43922.845652183285,1455.016602970194,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,613.5423878418911,2.991838500000003,39.73781149829791
3,54727.11493536843,1466.0401746353873,1.5374146335247612,5428.940278125,45613.84572620818,1047.143475,544.4315521104514,299.1838500000003,563.8027289108738,2.991838500000003,38.1957257796469
4,55359.123737433416,1572.9989984496724,1.578733225498359,5428.940278125,46023.06757380936,1047.143475,548.5879608491413,299.1838500000003,647.8236394824256,2.991838500000003,44.463319875114884
5,62937.86183682979,1658.6529750252485,1.8486735888116164,5428.940278125,52112.467117559005,1047.143475,616.289501924917,299.1838500000003,628.1818454313886,2.991838500000003,47.042927520437736
6,42703.922391837164,1321.6901833024613,1.2198065521551205,5428.940278125,35398.740247111855,1047.143475,427.4244941330625,299.1838500000003,562.4865189291376,2.991838500000003,34.80046031292988
7,55685.99196062105,1507.014173899051,1.5829833823373634,5428.940278125,46323.950880633696,1047.143475,552.1002226300953,299.1838500000003,584.4367046362335,2.991838500000003,40.16687947986111
8,45757.35927730655,1337.6563919865048,1.318987481427999,5428.940278125,37893.62703894201,1047.143475,455.7642856916368,299.1838500000003,533.3154152496943,2.991838500000003,33.85803060584355
9,60947.68731142935,1673.4886280929336,1.77979415639117,5428.940278125,50501.905870673036,1047.143475,598.3777368722132,299.1838500000003,666.5549433699451,2.991838500000003,48.811028919368
10,69750.45145485876,1041.9961984374067,1.7339209028566331,5428.940278125,59439.133942091554,1047.143475,705.1916421001895,299.1838500000003,94.24489241190437,2.991838500000003,6.799380267952033
11,75947.02071998884,1079.9910068899858,1.8301619996729037,5428.940278125,65065.19912869158,1047.143475,769.8576580105153,299.1838500000003,96.15271705599598,2.991838500000003,7.157421104399748
12,82158.21444240071,1013.1732155598891,1.9315115896525297,5428.940278125,70680.94471646793,1047.143475,834.0529587268487,299.1838500000003,0.0,2.991838500000003,0.0
13,81388.906449764,992.4945865815469,1.8737119562190558,5428.940278125,70218.6301547509,1047.143475,829.8571860840487,299.1838500000003,0.0,2.991838500000003,0.0
14,56217.66236032591,772.6501363171702,1.3237874740868045,5428.940278125,48204.414338030576,1047.143475,579.6716288333056,299.1838500000003,0.0,2.991838500000003,0.0
15,70177.87550488024,903.4369882437303,1.6362060157786695,5428.940278125,60368.47561947901,1047.143475,718.2976703115665,299.1838500000003,0.0,2.991838500000003,0.0
