TIME,Operational cost ($),Transportation cost ($),Revenue ($),Supply Cost ($),P fertilizer (tonne),N fertilizer (tonne)
15034.407636363639,44551.99739564221,3.6482836363636397,-0.0,0.0,20.36286656331156
25034.4076363636395,42881.795068154686,3.6482836363636397,-0.0,0.0,20.362866563311556
38555.983849216153,78556.46796920773,3.7152364228597614,-0.0,1.4012781389902045,30.69475241083588
49411.91389704904,100583.61865133693,3.7240234700240347,-0.0,1.5269344112557064,49.92347655562723
59460.322045789746,104875.93489425213,3.7245204319979677,-0.0,1.2267795605939396,49.92347655562723
69252.302410612852,101565.45866971511,3.7223848855826716,-0.0,1.4442140437230706,49.92347655562723
79277.167872686025,95220.03357662265,3.7226401564293385,-0.0,1.572105423415584,49.92347655562723
89314.649644252746,97031.87050096139,3.7230249473306407,-0.0,1.3199109349858422,49.92347655562723
99223.401030525894,96113.31713630586,3.7220881816749394,-0.0,1.3066970192927247,49.06249653302811
108029.438750291517,77155.41602906075,3.709830868246879,-0.0,1.6965129280758031,16.668291462597065
117870.498500057264,82684.70114759695,3.708199174770705,-0.0,1.5941600045001763,15.416852781499054
127478.850620944523,64078.42330750385,3.704178485937238,-0.0,1.8864209620922323,0.0
137744.4448881158505,66238.89285139066,3.7069050981856377,-0.0,2.114286672350139,0.0
147470.4699772963395,60362.16029159625,3.7040924495710774,-0.0,1.958455954408415,0.0
157645.792607946654,60354.015667090134,3.705892325890864,-0.0,2.0983217764122197,0.0
