,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n21,-2.5407122611663326,-3.684634354794806,-2.877542444480426,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-1.6639928883626705,-3.0228841839345257,-2.319367444480426,-4.178933368506342,-7.1139010376955545,-5.615074819006203,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-2.010020513857007,-2.8607938642336004,-2.296891228076372,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-1.5188416563836789,-2.2888105706221094,-1.6734876140380357,-3.7889847860724233,-5.824774303053511,-4.6464010007337535,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-1.9429352058966134,-2.7928091532321035,-2.206955615425985,-0.0,-0.0,-0.0,-0.0,796.4503925186499,-1.5294784333583,-2.2209906133843815,-1.6131959357487942,-3.7985941306066975,-5.7838172083647,-4.604092334875838,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
n24,-2.327480799999175,-3.2687326656776197,-2.5893247527685226,-0.0,-0.0,-0.0,-0.0,796.5969946958633,-1.902962600953392,-2.6967493720661286,-2.078987636429265,-3.9547482568973975,-6.042339085865504,-4.864230190795173,96.59699469586329,96.59699469586329,96.59699469586329,-0.0,-0.0,-0.0,
n25,-1.9291108425288732,-2.7213339901558364,-2.103358949391196,-0.0,-0.0,-0.0,-0.0,796.3739214317461,-1.4743439836335448,-2.146730158195708,-1.5750488693159648,-3.733072307150309,-5.748896252595493,-4.553066246646913,96.37392143174615,96.37392143174615,96.37392143174615,-0.0,-0.0,-0.0,
n26,-1.8111974535035449,-2.56744806495252,-2.021193392910378,-0.0,-0.0,-0.0,-0.0,796.4098909896128,-1.3921784271527269,-1.9981292272000621,-1.4200340540653107,-3.7145049570073576,-5.659329944390185,-4.478055091678624,96.40989098961273,96.40989098961273,96.40989098961273,-0.0,-0.0,-0.0,
n27,-2.1215806145322254,-3.0890221729420277,-2.3684579131168775,-0.0,-0.0,-0.0,-0.0,796.2730933868518,-1.5094999071370165,-2.5221041884113626,-1.8696943271555682,-3.9098347170141574,-5.963417299247018,-4.778123487607981,96.27309338685171,96.27309338685171,96.27309338685171,-0.0,-0.0,-0.0,
n28,-1.8020050623186523,-2.474649254495766,-1.8960928653070233,-0.0,-0.0,-0.0,-0.0,797.6339544092049,-1.2396616181566837,-1.5814916333076745,-1.2018325669201764,-3.745808378280181,-5.5880755853259725,-4.45408657482852,97.63395440920486,97.63395440920486,97.63395440920486,-0.0,-0.0,-0.0,
n29,-1.8725056311014363,-2.5310078905148865,-2.115125911867491,-0.0,-0.0,-0.0,-0.0,797.1306827816518,-1.3246360529114702,-2.0275023776272674,-1.5542653824934283,-3.870402389732265,-5.817668445231778,-4.6849795462494255,97.13068278165176,97.13068278165176,97.13068278165176,-0.0,-0.0,-0.0,
n30,-1.6628445763316713,-2.221373844321177,-1.7022296727426698,-0.0,-0.0,-0.0,-0.0,797.0672058504376,-1.2067612296922718,-0.5796663830715212,-0.0,-3.2900401769991823,-4.951069614986471,-3.859994352629238,97.06720585043763,97.06720585043763,97.06720585043763,-0.0,-0.0,-0.0,
