#,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
1,2.549301944397602,7.774269598788635e-11,7.278464358078663e-5,1.35497745225263e-10,1.816846249140487e-5,0.028086365354720796,1.7129120958949665e-5,1.071924090660991e-10,
2,0.885988256385703,8.214701495594247e-11,6.435953803784554e-5,1.3775988239955196e-10,3.793207076458674e-6,0.023907765401715478,1.960008780068415e-6,1.1040245730290477e-10,
3,0.5274597114610052,8.876504355130986e-11,5.705247610553704e-5,1.323875136024951e-10,5.654292487170179e-8,0.015071840103745666,9.558681476871177e-9,1.1359525139343272e-10,
4,0.2551759377666566,1.0934682070797167e-10,5.011082325578173e-5,1.3347951739072594e-10,1.3622859528190262e-9,0.009686843614874319,1.5587532587280342e-10,1.1941469900534354e-10,
5,0.13345738610361055,1.5331938596443938e-9,4.386983108521809e-5,1.5661670192759556e-10,3.1706421236024227e-8,0.006425312605418914,3.5615036540066806e-9,2.1867942029078166e-10,
6,0.07780941000809559,4.647419979134378e-8,3.834720086591493e-5,1.5428082338578318e-10,3.4484856202940153e-6,0.004272094309300271,1.1015601569167583e-7,2.8474391185808427e-10,
7,0.34290942568181415,4.140076655676637e-5,3.3939973951651596e-5,1.9223223489723782e-10,0.0006339968884649311,0.0028464209264117643,3.089358416651743e-6,1.9237757386807803e-9,
8,1.6575464114017116,0.04686363795984276,2.953892244208267e-5,1.8975181921087922e-10,0.689059538396721,0.0018629702621970963,0.0006662846603712508,9.55296036805842e-8,
9,1.0225746690218445,0.04559953922557322,2.5835139148425088e-5,1.465448946751836e-10,2.3546404911638934,0.00120777826251496,0.0012656870254445815,7.601450190386645e-8,
10,0.6858399815825397,0.020244292280936278,2.208678477900104e-5,1.350685926695211e-10,3.121021404723832,0.000770783531612619,0.0008317821743171994,1.109702374801414e-8,
11,1.1243672682967922,0.008806726871432984,1.8661544905369673e-5,1.3349724496162152e-10,3.164732887216973,0.00048622815321665953,0.0002525232812362739,4.426628780024536e-10,
12,1.6085522360069384,0.00337946162991447,1.589705681256983e-5,1.3191299558751528e-10,1.8433729204137093,0.00030474951317716964,3.853797926259208e-5,1.1331480186045508e-10,
13,1.3371925660536497,0.00011033997720164076,1.3541451830747109e-5,1.3144701058377844e-10,0.3212793050909161,0.0001889388032124848,1.6406115893856204e-6,1.0516282223285204e-10,
14,1.142463399178568,3.8836356303359007e-7,1.158058897835033e-5,1.3064192875961363e-10,0.01156345472298984,0.00011727169381787888,1.6344729283845057e-8,1.0456773471313293e-10,
15,0.7380196410573887,1.7795199216611798e-10,9.89906574358341e-6,1.2811528097537052e-10,0.00011805000182399303,7.28531296917738e-5,1.0099512785729204e-10,1.0267323136197129e-10,
