,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n26,-0.056691652123419124,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.4098909896128,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.40989098961273,96.40989098961273,96.40989098961273,-0.0,-0.0,-0.0,
n27,-0.1178121094183284,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.2730933868518,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.27309338685171,96.27309338685171,96.27309338685171,-0.0,-0.0,-0.0,
n28,-0.12331850472474679,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.6339544092049,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.63395440920486,97.63395440920486,97.63395440920486,-0.0,-0.0,-0.0,
n29,-0.11101888818570031,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.1306827816518,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.13068278165176,97.13068278165176,97.13068278165176,-0.0,-0.0,-0.0,
n30,-0.10116399035133153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.0672058504376,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.06720585043763,97.06720585043763,97.06720585043763,-0.0,-0.0,-0.0,
n31,-0.05549633120497389,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.8483714076314,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.84837140763135,96.84837140763135,96.84837140763135,-0.0,-0.0,-0.0,
n32,-0.15380415271521283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.7815336196695,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.78153361966947,97.78153361966947,97.78153361966947,-0.0,-0.0,-0.0,
n33,-0.08635428729553078,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.0700395822051,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.0700395822051,97.0700395822051,97.0700395822051,-0.0,-0.0,-0.0,
n34,-0.06346233092169026,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.7024862428486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.70248624284864,96.70248624284864,96.70248624284864,-0.0,-0.0,-0.0,
n35,-0.11529498044088192,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.9814357935063,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.98143579350626,96.98143579350626,96.98143579350626,-0.0,-0.0,-0.0,
n36,-0.09350406257887797,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.0284249452955,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.0284249452955,97.0284249452955,97.0284249452955,-0.0,-0.0,-0.0,
