To,Latitude,Longitude
n218,43.287,-89.4057
n27,43.283699,-89.4039001
n246,43.2778,-89.3803
n25,43.277401,-89.3796005
n254,43.2788,-89.388
n47,43.2813988,-89.3864975
n261,43.269,-89.2534
n51,43.2683983,-89.2522964
n270,43.2688,-89.2721
n49,43.2681999,-89.2759018
n271,43.274,-89.3706
n26,43.2748985,-89.3725967
n280,43.2667,-89.2587
n50,43.2667999,-89.2598038
n286,43.2739,-89.3939
n46,43.2755013,-89.3908997
n288,43.2734,-89.3841
n22,43.2714996,-89.3850021
n288,43.2734,-89.3841
n23,43.273201,-89.382103
n336,43.2705,-89.4765
n42,43.2691994,-89.4738998
n347,43.2665,-89.4045
n24,43.2653999,-89.4016037
n393,43.2583,-89.3775
n45,43.2596016,-89.3796005
n398,43.2618,-89.2818
n48,43.263401,-89.2769012
n410,43.2513,-89.2631
n52,43.2522011,-89.2656021
n416,43.2614,-89.4745
n41,43.2613983,-89.4776001
n445,43.2464,-89.3013
n34,43.2444992,-89.3010025
n445,43.2464,-89.3013
n53,43.2472,-89.300499
n485,43.2401,-89.2906
n54,43.2389984,-89.2916031
n497,43.2399,-89.3098
n31,43.2387009,-89.3114014
n552,43.2374,-89.3925
n29,43.2350006,-89.3892975
n595,43.2291,-89.3182
n30,43.2285004,-89.3223038
n631,43.2342,-89.5237
n18,43.2354012,-89.5203018
n654,43.2274,-89.3563
n38,43.2266006,-89.3581009
n739,43.2113,-89.2792
n55,43.2113991,-89.2805023
n748,43.219,-89.4434
n16,43.2196999,-89.441803
n752,43.2222,-89.5176
n17,43.2248001,-89.5178986
n787,43.2076,-89.2728
n33,43.2100983,-89.2738037
n861,43.2037,-89.3736
n28,43.2056999,-89.3778992
n880,43.1997,-89.3676
n43,43.2001991,-89.3651962
n895,43.2111,-89.5978
n40,43.2108994,-89.5988007
n923,43.2049,-89.5478
n35,43.2033997,-89.5521011
n940,43.1985,-89.5037
n21,43.1968002,-89.5034027
n959,43.194,-89.4387
n20,43.1959991,-89.4356003
n960,43.1909,-89.365
n32,43.1954994,-89.3641968
n977,43.199,-89.5883
n3,43.1987991,-89.5868988
n988,43.1915,-89.4849
n39,43.1903,-89.4852982
n991,43.1962,-89.563
n36,43.1949997,-89.5595016
n995,43.1945,-89.5381
n37,43.1955986,-89.5334015
n1006,43.1865,-89.3702
n44,43.1855011,-89.3672028
n1063,43.1762,-89.4795
n15,43.1780014,-89.4785995
n1121,43.1712,-89.547
n1,43.1702003,-89.5497971
n1129,43.1675,-89.4737
n13,43.1666985,-89.4717026
n1132,43.1683,-89.5458
n2,43.1697998,-89.5447998
n1133,43.1679,-89.5294
n14,43.1696014,-89.5307007
n1151,43.1609,-89.4596
n19,43.1635017,-89.4608002
n1174,43.162,-89.4647
n10,43.1609993,-89.4651031
n1196,43.156,-89.5585
n4,43.153801,-89.5569992
n1198,43.1504,-89.4539
n12,43.1488991,-89.4518967
n1205,43.1497,-89.4596
n11,43.1478004,-89.4598999
n1206,43.1489,-89.4687
n9,43.148201,-89.4681015
n1214,43.1505,-89.5435
n5,43.1529999,-89.5457001
n1316,43.1292,-89.5745
n7,43.1259995,-89.574501
n1325,43.1246,-89.5657
n6,43.1259995,-89.5635986
n1333,43.1216,-89.534
n8,43.1226006,-89.5328979
