To,Latitude,Longitude
n223,43.279,-89.3072
n148,43.2765999,-89.3035965
n227,43.2769,-89.2825
n151,43.2748985,-89.2835007
n229,43.285,-89.4495
n144,43.2882004,-89.450798
n231,43.2776,-89.2866
n150,43.2755013,-89.2863998
n235,43.2774,-89.3127
n199,43.277401,-89.3097992
n245,43.2815,-89.4493
n143,43.2831001,-89.4509964
n269,43.2727,-89.3457
n186,43.2700005,-89.346199
n270,43.2688,-89.2721
n174,43.2677994,-89.2730026
n292,43.2698,-89.3272
n147,43.2733994,-89.3263016
n302,43.2657,-89.297
n149,43.2681999,-89.2957993
n314,43.2707,-89.424
n142,43.2717018,-89.4229965
n336,43.2705,-89.4765
n133,43.2668991,-89.4732971
n346,43.2667,-89.4245
n141,43.2672997,-89.419899
n367,43.2682,-89.461
n134,43.2714996,-89.461998
n373,43.266,-89.4671
n132,43.2639999,-89.4701004
n381,43.2609,-89.4001
n146,43.2602005,-89.4029999
n399,43.2546,-89.2864
n170,43.2550011,-89.2838974
n400,43.2551,-89.3155
n159,43.2537994,-89.3167038
n407,43.2516,-89.2525
n173,43.25,-89.254097
n410,43.2513,-89.2631
n172,43.2490005,-89.2640991
n427,43.2569,-89.4391
n196,43.2565994,-89.441803
n434,43.2561,-89.4541
n145,43.2545013,-89.4505997
n440,43.2475,-89.2907
n200,43.2498016,-89.2911987
n442,43.2515,-89.3908
n152,43.2481003,-89.392601
n480,43.2402,-89.2759
n171,43.2389984,-89.2774963
n483,43.2485,-89.4563
n140,43.2495995,-89.4573975
n489,43.2485,-89.4659
n130,43.2495995,-89.4677963
n489,43.2485,-89.4659
n131,43.2509995,-89.4654007
n503,43.2401,-89.3208
n158,43.2388,-89.3188019
n506,43.2475,-89.4838
n135,43.2509995,-89.4849014
n508,43.2444,-89.4337
n160,43.2456017,-89.4372025
n523,43.2456,-89.5031
n195,43.2470016,-89.5035019
n535,43.2439,-89.5079
n125,43.2425995,-89.5072021
n539,43.2387,-89.3785
n185,43.2369003,-89.3796005
n545,43.242,-89.4853
n126,43.2416,-89.4819031
n561,43.24,-89.4846
n128,43.2389984,-89.4828033
n562,43.2395,-89.4478
n139,43.2391014,-89.4505005
n565,43.2344,-89.3019
n201,43.2346001,-89.3013
n566,43.2324,-89.2608
n166,43.2318993,-89.2662964
n568,43.2421,-89.5311
n123,43.2421989,-89.5285034
n575,43.2412,-89.5158
n124,43.2396011,-89.5149002
n580,43.2268,-89.2445
n164,43.2246017,-89.2434998
n587,43.2383,-89.4649
n129,43.2363014,-89.4637985
n589,43.2401,-89.4745
n127,43.2405014,-89.4778976
n591,43.2341,-89.424
n156,43.2327003,-89.4228973
n598,43.2259,-89.2592
n165,43.2246017,-89.2553024
n617,43.2312,-89.3757
n198,43.2331009,-89.3785019
n620,43.2249,-89.301
n169,43.2263985,-89.2979965
n621,43.2344,-89.5005
n183,43.232399,-89.5010986
n630,43.2228,-89.2956
n202,43.2226982,-89.2975998
n631,43.2342,-89.5237
n118,43.2331009,-89.5223999
n636,43.2218,-89.2479
n163,43.2235985,-89.2497025
n640,43.227,-89.4038
n157,43.2249985,-89.4007034
n649,43.2302,-89.4752
n112,43.2305984,-89.4702988
n663,43.2328,-89.5392
n122,43.2361984,-89.5394974
n666,43.228,-89.4422
n108,43.2275009,-89.4402008
n667,43.2195,-89.2758
n167,43.2172012,-89.2781982
n670,43.2208,-89.2792
n168,43.2223015,-89.2819977
n671,43.2268,-89.4521
n110,43.2290001,-89.4532013
n673,43.2265,-89.4567
n111,43.2265015,-89.4605026
n675,43.2275,-89.4938
n113,43.2271996,-89.4910965
n679,43.2289,-89.5385
n119,43.2299995,-89.5406036
n692,43.2176,-89.314
n161,43.2153015,-89.3125
n694,43.2232,-89.4238
n107,43.225399,-89.4225998
n711,43.22,-89.4041
n154,43.2190018,-89.4064026
n715,43.2258,-89.4476
n109,43.2242012,-89.4461975
n718,43.2289,-89.512
n117,43.2308006,-89.5151978
n731,43.2261,-89.5268
n120,43.2237015,-89.5258026
n734,43.2217,-89.4792
n101,43.2192993,-89.4787979
n736,43.223,-89.4937
n114,43.2233009,-89.4953003
n744,43.2224,-89.508
n116,43.2232018,-89.507103
n745,43.2225,-89.5015
n115,43.223999,-89.4994965
n752,43.2222,-89.5176
n99,43.2186012,-89.5201035
n763,43.2186,-89.4156
n155,43.2200012,-89.4132004
n770,43.2229,-89.548
n121,43.2249985,-89.547699
n779,43.2135,-89.3743
n184,43.214901,-89.3760986
n780,43.2198,-89.4873
n100,43.2188988,-89.4841003
n785,43.216,-89.451
n103,43.2144012,-89.4497986
n792,43.2227,-89.5856
n97,43.2262993,-89.5859985
n807,43.2044,-89.2906
n187,43.2038994,-89.292099
n811,43.2089,-89.3991
n197,43.2088013,-89.3968964
n817,43.2133,-89.4827
n102,43.2139015,-89.4787979
n828,43.2081,-89.4124
n106,43.2074013,-89.4147034
n841,43.2165,-89.5825
n182,43.2169991,-89.5840988
n845,43.2083,-89.439
n104,43.2071991,-89.4354019
n851,43.2057,-89.4236
n105,43.2075005,-89.4244995
n854,43.2144,-89.5645
n98,43.2167015,-89.5633011
n889,43.2109,-89.5801
n62,43.2117996,-89.5792007
n890,43.2088,-89.5635
n194,43.2069016,-89.5643997
n905,43.207,-89.5209
n180,43.2064018,-89.5212021
n906,43.2047,-89.4921
n137,43.2061996,-89.4910965
n907,43.2027,-89.4193
n203,43.2033997,-89.414299
n908,43.2079,-89.5843
n60,43.2052002,-89.5856018
n908,43.2079,-89.5843
n61,43.2067986,-89.5863037
n925,43.1932,-89.3317
n162,43.1935005,-89.3290024
n926,43.2033,-89.5438
n181,43.2025986,-89.5406036
n928,43.197,-89.3853
n153,43.1949005,-89.3887024
n950,43.1978,-89.5188
n138,43.1985016,-89.5158997
n973,43.1967,-89.525
n176,43.196701,-89.530899
n992,43.1925,-89.5037
n94,43.1913986,-89.5082016
n998,43.1952,-89.5136
n93,43.1908989,-89.5143967
n1023,43.1907,-89.5496
n175,43.1925011,-89.5501022
n1042,43.1807,-89.4864
n96,43.1801987,-89.4834976
n1044,43.1856,-89.5794
n193,43.1864014,-89.5758972
n1054,43.1819,-89.5544
n58,43.1832008,-89.5538025
n1061,43.1789,-89.5003
n179,43.178299,-89.4965973
n1066,43.182,-89.5693
n56,43.1817017,-89.5662003
n1068,43.1795,-89.5498
n92,43.1785011,-89.5472031
n1070,43.1786,-89.5197
n178,43.1792984,-89.5178986
n1072,43.1787,-89.5234
n90,43.1773987,-89.5261993
n1074,43.1803,-89.5264
n91,43.1804008,-89.5279007
n1078,43.1754,-89.4859
n95,43.1767998,-89.4833984
n1080,43.1713,-89.4082
n136,43.1721001,-89.4093018
n1092,43.1751,-89.5156
n86,43.1762009,-89.5140991
n1097,43.1753,-89.5575
n57,43.1757011,-89.5598984
n1100,43.1748,-89.5388
n89,43.1744995,-89.5409012
n1122,43.1714,-89.5351
n88,43.1707001,-89.5366974
n1128,43.1715,-89.5639
