#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.591406299965492e8,6.645849359054722e9
2.5431221463719704e6,3.1825541149901295e8,8.16189079479577e9
1.9092393115614345e6,1.9435426313638908e8,4.984356004350703e9
1.5560973061185484e6,1.4298060961136016e8,3.666841408680548e9
1.9210607107483805e6,2.2143326633278865e8,5.678816676299479e9
2.6067928106942493e6,3.3215935693709046e8,8.518467557301941e9
2.879117185993429e6,3.686718390448067e8,9.45485663614417e9
2.9689175106173707e6,3.1369638152658033e8,8.044971165401469e9
2.9985296167452415e6,3.169678072717751e8,8.128869250746817e9
2.9679765409505223e6,3.1248682782153416e8,8.013951283588531e9
2.954601455267023e6,3.1100920243885314e8,7.976056509223952e9
2.950190953875321e6,3.10521948079446e8,7.963560517868967e9
1.975736618926649e6,1.6196100376455182e8,4.1536073794172664e9
1.518594625514945e6,1.1035220565525621e8,2.8300623303803234e9
1.3095575634758798e6,4.126030918012396e7,1.0319069629064918e9
2.0144328727793773e6,2.3103547794895783e8,5.778122440459196e9
2.6705833095403537e6,3.182137216315029e8,7.958422066360035e9
2.9001524219983225e6,3.469611834561635e8,8.677386771477802e9
2.896033307695893e6,3.4393899866986966e8,8.601802909259218e9
1.9277554209616836e6,1.7506667551708245e8,4.378360827358833e9
2.523198965042558e6,2.997577291347827e8,7.496843674361703e9
2.8515516973446854e6,3.3588686779209274e8,8.400421725159536e9
2.9598276528829862e6,3.492471508478018e8,8.734558075214544e9
2.99553219069979e6,3.5365277099896294e8,8.844741207630198e9
3.007305940599975e6,3.551055462759076e8,8.881074646559923e9
1.8717629334224164e6,1.1867155102923326e8,2.9679370377808437e9
1.3175688923618088e6,3.9175336639446385e7,9.797624752633779e8
1.8667702451244206e6,2.0449487195503867e8,5.114350484574867e9
2.2745849462575396e6,2.5095671525431797e8,7.878095842100847e9
1.6003215532278824e6,1.1851468261480486e8,3.7204424969836745e9
1.398129175938486e6,1.1093310173430835e8,3.4824396176797175e9
