,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-13.823562427161985,-18.695633698979083,-14.634698800824511,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-12.11799027305209,-18.231996293328802,-14.223729506457905,-16.40112690935083,-15.878191243006615,-11.32801301377197,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-13.859613880100337,-18.762547179116186,-14.694810356980716,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-12.13601806419841,-18.159486163545,-14.175078522537083,-16.403640907854363,-15.880776129819731,-11.330310578956599,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-13.939815467433943,-19.260033051451625,-15.249167620250748,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-11.717040019030136,-17.53122531234601,-13.614993782405415,-16.7147374349719,-16.353767158577345,-11.839314932576336,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-13.252329416255991,-18.81637127402451,-14.730381166671718,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-12.589096986764439,-18.230761323920614,-14.169408553054053,-16.55618516591013,-15.598340628989595,-11.047903784666282,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-13.527056069758332,-18.764484135052964,-14.697244393334246,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-12.41043392740122,-18.30757625272027,-14.302996743823233,-16.409664284042215,-15.584508091452266,-11.034084565667678,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-14.188300688831138,-18.396606261720954,-14.26778736923992,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-11.805915318768967,-18.40026766254384,-14.33403766254384,-16.263078816122366,-15.2574323450104,-10.685857761478355,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-14.26721545362449,-18.259263776912498,-14.13978590056098,-0.0,-0.0,-0.0,-0.0,797.573568966007,-11.833994846428418,-18.209696352569033,-14.193054260897117,-16.315109185933622,-15.3525315292609,-10.807016891878261,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-14.440417322830449,-18.72334558997288,-14.688299405158187,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-11.817385155599348,-18.3605767066509,-14.323179676928776,-16.12514332611554,-15.343248158760515,-10.80374184065348,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-12.994270754916698,-18.414113849962014,-14.42694558562682,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-12.441445011989714,-17.730982298964538,-13.825926993878289,-15.40449719665548,-16.23769443156568,-11.496896096286969,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-12.83158151557481,-18.20829762009431,-14.257886051689118,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-12.0109573065015,-17.50386259992623,-13.628299498105848,-15.63320240031149,-16.376847229855258,-11.667814945898703,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-13.193211445434764,-18.251192779252996,-14.23820431693278,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-12.242519508215489,-17.54861448295775,-13.725799909100585,-15.501815262284879,-16.333038027973483,-11.501587717740907,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-13.228581215630099,-18.206946483934512,-14.177833275811768,-0.0,-0.0,-0.0,-0.0,798.507057728507,-12.052645466718602,-17.359475257284533,-13.626410411035907,-15.563668365544343,-16.410405624691705,-11.454626870538014,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-12.982730264511764,-18.24823544314762,-14.311824118562352,-0.0,-0.0,-0.0,-0.0,798.109719232489,-11.842233315389358,-17.475832832754783,-13.74710208882483,-15.73503641211133,-16.359136453952686,-11.723992955791726,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-14.076734255672058,-18.649859968843575,-14.606133982401062,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-12.047705258075442,-18.048746429892553,-14.126380776572875,-16.260842236968568,-15.917818662391568,-11.367284190507588,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-13.3440130232891,-18.04166158228075,-14.122053135264851,-0.0,-0.0,-0.0,-0.0,797.891535919738,-11.673734858188935,-17.791662247537833,-13.938914868175871,-15.945330746967743,-16.412364131696236,-11.854522536839928,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-12.332487114438916,-17.47919603296892,-13.666108319040267,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-11.536092918338081,-16.975881775094443,-13.255605228720153,-16.7141512925368,-17.27467325695811,-12.680839447832428,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-14.174450693691403,-18.350229589515468,-14.469212540644808,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-11.634711514153377,-17.942886383206137,-14.038945935324431,-16.473011172883275,-16.868200295215487,-12.344157652210392,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
