#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1682.2517421177836,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,784.7865829064081,2.991838500000003,52.408839208748326
2,43922.845652183285,1598.3233683518542,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,748.1320709747416,2.991838500000003,48.4548937471076
3,54829.91596188999,1475.1430453261185,1.5374146335247612,5428.940278125,45715.434226488986,1047.143475,545.6440783511994,299.1838500000003,572.328038729145,2.991838500000003,38.77328665210712
4,53746.555917903555,1639.9159677706366,1.578733225498359,5428.940278125,44429.49489803574,1047.143475,529.5928170929033,299.1838500000003,710.4427514311344,2.991838500000003,48.7611772473706
5,62780.803955019335,1796.5434825336488,1.8486735888116164,5428.940278125,51957.24491574481,1047.143475,614.4538219286512,299.1838500000003,756.4655176897785,2.991838500000003,56.64976277044841
6,41345.45296078091,1379.4243843089987,1.2198065521551205,5428.940278125,34056.47805212338,1047.143475,411.21725806528485,299.1838500000003,616.8568817127554,2.991838500000003,38.1642985358496
7,56048.30752959038,1642.596450343613,1.5829833823373634,5428.940278125,46681.999142490284,1047.143475,556.3675297428395,299.1838500000003,711.2999837902809,2.991838500000003,48.88587677037573
8,45466.374443895664,1459.077695932879,1.318987481427999,5428.940278125,37606.10042195036,1047.143475,452.30606927239927,299.1838500000003,647.4883434914962,2.991838500000003,41.10640631041574
9,60908.819837372306,1740.7974789750992,1.77979415639117,5428.940278125,50463.4935297292,1047.143475,597.9226037590037,299.1838500000003,729.2711600002677,2.991838500000003,53.40366317121091
10,67908.06648308913,1087.1366802153866,1.7339209028566331,5428.940278125,57618.35091649063,1047.143475,683.5896959314819,299.1838500000003,136.34782151176782,2.991838500000003,9.836932946068673
11,70240.10530547272,1126.1437405920278,1.8301619996729037,5428.940278125,59425.018866386505,1047.143475,703.1225057994683,299.1838500000003,139.10794704633204,2.991838500000003,10.354924816105875
12,76743.83166553797,1013.1732155598891,1.9315115896525297,5428.940278125,65329.707882715375,1047.143475,770.907015616675,299.1838500000003,0.0,2.991838500000003,0.0
13,74731.18073858695,992.4945865815469,1.8737119562190558,5428.940278125,63638.667696968565,1047.143475,752.0939326893299,299.1838500000003,0.0,2.991838500000003,0.0
14,52405.96083983619,772.6501363171702,1.3237874740868045,5428.940278125,44438.004948882815,1047.143475,534.3794974913457,299.1838500000003,0.0,2.991838500000003,0.0
15,67259.25734593772,903.4369882437303,1.6362060157786695,5428.940278125,57484.17645483255,1047.143475,683.9786760154998,299.1838500000003,0.0,2.991838500000003,0.0
