#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.3731130836160356e8,6.645849359054722e9
2.5431221463719704e6,2.9144641693970186e8,8.16189079479577e9
1.9092393115614345e6,1.7798237378355548e8,4.984356004350703e9
1.5560973061185484e6,1.3093630102567622e8,3.666841408680548e9
1.9210607107483805e6,2.027803133337958e8,5.678816676299479e9
2.6067928106942493e6,3.041791307690325e8,8.518467557301941e9
2.879117185993429e6,3.376158979044183e8,9.45485663614417e9
2.9689175106173707e6,2.8727142760039157e8,8.044971165401469e9
2.9985296167452415e6,2.9026727708879614e8,8.128869250746817e9
2.9679765409505223e6,2.86163763502014e8,8.013951283588531e9
2.954601455267023e6,2.848106093754803e8,7.976056509223952e9
2.950190953875321e6,2.843644000352571e8,7.963560517868967e9
1.975736618926649e6,1.483178369499071e8,4.1536073794172664e9
1.518594625514945e6,1.0105642756593716e8,2.8300623303803234e9
1.3095575634758798e6,3.755041341900061e7,1.0319069629064918e9
2.0144328727793773e6,2.102620625930487e8,5.778122440459196e9
2.6705833095403537e6,2.8960172718768305e8,7.958422066360035e9
2.9001524219983225e6,3.157643783580953e8,8.677386771477802e9
2.896033307695893e6,3.130139314901737e8,8.601802909259218e9
1.9277554209616836e6,1.5932566120283076e8,4.378360827358833e9
2.523198965042558e6,2.7280519410102195e8,7.496843674361703e9
2.8515516973446854e6,3.056858030933541e8,8.400421725159536e9
2.9598276528829862e6,3.178448043734128e8,8.734558075214544e9
2.99553219069979e6,3.2185429585155404e8,8.844741207630198e9
3.007305940599975e6,3.231764457175675e8,8.881074646559923e9
1.8717629334224164e6,1.0800127024662176e8,2.9679370377808437e9
1.3175688923618088e6,3.565290992410625e7,9.797624752633779e8
1.8667702451244206e6,1.8610783914523792e8,5.114350484574867e9
2.2745849462575396e6,2.2273064421663553e8,8.278724252017131e9
1.6003215532278824e6,1.051848785204858e8,3.909639860360009e9
1.398129175938486e6,9.84560273240464e7,3.6595337118140755e9
2.3214344708447866e6,2.364851299591875e8,8.789967754640577e9
2.7817187902302956e6,2.874551634932079e8,1.0684484129916721e10
2.9367999025341e6,3.042627869474791e8,1.1309210378965366e10
2.3547104200092535e6,2.2056841486507627e8,8.198355874176108e9
2.653470013040371e6,2.0919409392127693e8,7.775581239913973e9
2.887909114601272e6,2.3045190649613822e8,8.5657175461564455e9
2.8919960158540667e6,2.291212125863579e8,8.5162566918512125e9
2.3073681996902567e6,1.6523067202732965e8,6.141495152141151e9
2.4142652784654056e6,1.8419389747603598e8,6.846343445337746e9
2.789229820251906e6,2.2220796669464767e8,8.259296736362589e9
2.939276702245693e6,2.3474329612433243e8,8.725225150126879e9
2.988755411953737e6,2.855619573481596e8,9.358998881816767e9
3.00507126391842e6,2.871914213041638e8,9.412402883819777e9
2.325981160023159e6,1.9838206317065886e8,6.501767688624738e9
2.717216960782779e6,2.5844341522053775e8,8.47021660911552e9
1.8395730865402184e6,1.2781639839039072e8,4.1890507430408707e9
2.4043995536447624e6,2.2520342641160154e8,7.380810229556536e9
2.725956207847854e6,2.5731728592512423e8,8.433308881929344e9
1.739129618267274e6,1.0968458620482238e8,3.594799283407011e9
2.3678799490727508e6,2.3294615233987474e8,7.634570093012626e9
2.496920397232525e6,2.39112244491624e8,7.836657409156917e9
2.4823801102378704e6,2.3654618931763494e8,7.752557595137349e9
2.768073154639982e6,2.7477940038947964e8,9.005611688870838e9
2.929000129810549e6,2.9264764098898876e8,9.591224861380903e9
2.651261012022955e6,2.5419975403821212e8,8.331134986937914e9
2.8640802924391893e6,2.8086161992166436e8,9.8148018515666e9
1.9649497439185628e6,1.5048753633957046e8,5.258836542761756e9
2.3155414065347128e6,2.1835735782975996e8,7.630569817721852e9
2.7632752420679647e6,2.705085047264478e8,9.453008829736723e9
2.930718050293091e6,2.877056062186974e8,1.0053967207797726e10
2.9859331536713387e6,2.9337643643688226e8,1.0252136238300663e10
3.004140610135946e6,2.952464210606266e8,1.0317483467134016e10
2.9698267940811673e6,2.5290269839771745e8,8.837768126497377e9
2.995529401367588e6,2.560934859905481e8,8.94927125028768e9
3.0073050208037323e6,2.5714566415611795e8,8.986039962974352e9
3.0111880902015856e6,2.574926251680604e8,8.998164629859716e9
3.0124685517543983e6,2.5760703729686826e8,9.002162799399502e9
3.0128907903549084e6,2.5764476526850718e8,9.003481215799723e9
3.0130300256450037e6,2.5765720625582924e8,9.003915970200977e9
3.013075939178215e6,3.096154960552261e8,9.280097607157177e9
3.0130910793954004e6,3.0961712164556307e8,9.280146330936148e9
2.0289997996762274e6,1.6527397709703064e8,4.953752828669555e9
3.125157943754258e6,1.5295215162342477e8,4.584431058440644e9
1.5186240998880486e6,1.0832642404034586e8,3.2468652290885186e9
2.3948859781847605e6,2.432410435206066e8,7.290657782630365e9
1.6218514034138613e6,9.039817032680179e7,2.7095021238585052e9
1.680628124596034e6,1.5581118653075513e8,4.670124841020451e9
2.3891929732134333e6,2.5714687214997998e8,7.707456840278202e9
2.2751568349585785e6,2.3014605840645778e8,6.898162117613989e9
2.6017420693740416e6,2.816591678928185e8,8.442163274443468e9
2.8675515103435507e6,3.157761202200672e8,9.464749842911352e9
1.8645226718096149e6,1.0430870792165518e8,3.1264423232122326e9
1.2598642360406304e6,3.457627118726488e7,1.0363537213012123e9
2.0046463618400309e6,2.0492100350639787e8,6.992268503561069e9
2.300019503696309e6,2.311980412755016e8,7.888887690544761e9
2.7449565923950677e6,2.9205504680670995e8,9.965436778806591e9
2.924677383953579e6,3.121229487208872e8,1.0650189225291039e10
2.7525220606217906e6,1.465120197057342e8,4.999250263526741e9
2.4948647796676913e6,2.641294076871103e8,9.012564386437632e9
2.086019596698993e6,1.9165798264127216e8,6.539710681422566e9
2.628188266809781e6,2.347486543385404e8,8.010040912831432e9
2.7676567917107884e6,2.450306082050255e8,8.36087943570372e9
2.922262719758289e6,2.62375680988172e8,8.952724117499762e9
2.9831449661431606e6,2.680953054795208e8,9.147887861082571e9
2.8097113740722598e6,2.4710111313238958e8,8.431528740276464e9
3.318756513334022e6,1.567185919905914e8,5.347516632984074e9
2.571964427169196e6,2.2852649620937335e8,7.797729829212359e9
2.864332296205431e6,2.71336999714801e8,8.455142357329184e9
2.964042119271911e6,2.8122943695973957e8,8.763400962881746e9
1.828433433808378e6,1.1395491308339663e8,3.55095329221566e9
2.4409462008724315e6,2.2933190683976105e8,7.146220093264201e9
1.6461364396506608e6,8.097566592295982e7,2.5232857427398157e9
2.3313320131922583e6,2.1845683516243935e8,6.807341579554085e9
2.7882826104631517e6,2.637919382497816e8,8.220030415910976e9
1.9865268794958817e6,1.8261950332784575e8,5.690613147063037e9
