#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.001599865,0.001002138,0.997397997,0,0,0,0
-1,0,0,0.001599865,0.001002138,0.997397997,0,0,0,0
-1,0,0,0.001599865,0.001002138,0.997397997,0,0,0,0
-1,0,0,0.001599865,0.001002138,0.997397997,0,0,0,0
0,-1,0,0.002047549,0.001282562,0,0.996669889,0,0,0
0,-1,0,0.002047549,0.001282562,0,0.996669889,0,0,0
0,-1,0,0.002047549,0.001282562,0,0.996669889,0,0,0
0,-1,0,0.002047549,0.001282562,0,0.996669889,0,0,0
0,0,-1,0.003010003,0.001885432,0,0,0.995104564,0,0
0,0,-1,0.003010003,0.001885432,0,0,0.995104564,0,0
0,0,-1,0.003010003,0.001885432,0,0,0.995104564,0,0
0,0,-1,0.003010003,0.001885432,0,0,0.995104564,0,0
-0.9,0,-0.1,0.001740879,0.001090467,0.997168653,0,0,0,0
-0.9,0,-0.1,0.001740879,0.001090467,0.997168653,0,0,0,0
-0.9,0,-0.1,0.001740879,0.001090467,0.997168653,0,0,0,0
-0.9,0,-0.1,0.001740879,0.001090467,0.997168653,0,0,0,0
0,-0.9,-0.1,0.002143794,0.001342849,0,0.996513357,0,0,0
0,-0.9,-0.1,0.002143794,0.001342849,0,0.996513357,0,0,0
0,-0.9,-0.1,0.002143794,0.001342849,0,0.996513357,0,0,0
0,-0.9,-0.1,0.002143794,0.001342849,0,0.996513357,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.035548529,0.375535471
0,0,0,0,0,-1,0,0,0.035548529,0.375535471
0,0,0,0,0,-1,0,0,0.035548529,0.375535471
0,0,0,0,0,-1,0,0,0.035548529,0.375535471
0,0,0,0,0,0,-1,0,0.045495919,0.307936081
0,0,0,0,0,0,-1,0,0.045495919,0.307936081
0,0,0,0,0,0,-1,0,0.045495919,0.307936081
0,0,0,0,0,0,-1,0,0.045495919,0.307936081
0,0,0,0,0,0,0,-1,0.066881366,0.318398634
0,0,0,0,0,0,0,-1,0.066881366,0.318398634
0,0,0,0,0,0,0,-1,0.066881366,0.318398634
0,0,0,0,0,0,0,-1,0.066881366,0.318398634
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
