#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.000255978,0.001002138,0.998741884,0,0,0,0
-1,0,0,0.000255978,0.001002138,0.998741884,0,0,0,0
-1,0,0,0.000255978,0.001002138,0.998741884,0,0,0,0
-1,0,0,0.000255978,0.001002138,0.998741884,0,0,0,0
0,-1,0,0.000327608,0.001282562,0,0.99838983,0,0,0
0,-1,0,0.000327608,0.001282562,0,0.99838983,0,0,0
0,-1,0,0.000327608,0.001282562,0,0.99838983,0,0,0
0,-1,0,0.000327608,0.001282562,0,0.99838983,0,0,0
0,0,-1,0.0004816,0.001885432,0,0,0.997632967,0,0
0,0,-1,0.0004816,0.001885432,0,0,0.997632967,0,0
0,0,-1,0.0004816,0.001885432,0,0,0.997632967,0,0
0,0,-1,0.0004816,0.001885432,0,0,0.997632967,0,0
-0.9,0,-0.1,0.000278541,0.001090467,0.998630992,0,0,0,0
-0.9,0,-0.1,0.000278541,0.001090467,0.998630992,0,0,0,0
-0.9,0,-0.1,0.000278541,0.001090467,0.998630992,0,0,0,0
-0.9,0,-0.1,0.000278541,0.001090467,0.998630992,0,0,0,0
0,-0.9,-0.1,0.000343007,0.001342849,0,0.998314144,0,0,0
0,-0.9,-0.1,0.000343007,0.001342849,0,0.998314144,0,0,0
0,-0.9,-0.1,0.000343007,0.001342849,0,0.998314144,0,0,0
0,-0.9,-0.1,0.000343007,0.001342849,0,0.998314144,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.038081965,0.373002035
0,0,0,0,0,-1,0,0,0.038081965,0.373002035
0,0,0,0,0,-1,0,0,0.038081965,0.373002035
0,0,0,0,0,-1,0,0,0.038081965,0.373002035
0,0,0,0,0,0,-1,0,0.048738275,0.304693725
0,0,0,0,0,0,-1,0,0.048738275,0.304693725
0,0,0,0,0,0,-1,0,0.048738275,0.304693725
0,0,0,0,0,0,-1,0,0.048738275,0.304693725
0,0,0,0,0,0,0,-1,0.071647799,0.313632201
0,0,0,0,0,0,0,-1,0.071647799,0.313632201
0,0,0,0,0,0,0,-1,0.071647799,0.313632201
0,0,0,0,0,0,0,-1,0.071647799,0.313632201
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
