#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.000746604,0,0.999253396,0,0,0,0
-1,0,0,0.000746604,0,0.999253396,0,0,0,0
-1,0,0,0.000746604,0,0.999253396,0,0,0,0
-1,0,0,0.000746604,0,0.999253396,0,0,0,0
0,-1,0,0.000955523,0,0,0.999044477,0,0,0
0,-1,0,0.000955523,0,0,0.999044477,0,0,0
0,-1,0,0.000955523,0,0,0.999044477,0,0,0
0,-1,0,0.000955523,0,0,0.999044477,0,0,0
0,0,-1,0.001404668,0,0,0,0.998595332,0,0
0,0,-1,0.001404668,0,0,0,0.998595332,0,0
0,0,-1,0.001404668,0,0,0,0.998595332,0,0
0,0,-1,0.001404668,0,0,0,0.998595332,0,0
-0.9,0,-0.1,0.00081241,0,0.99918759,0,0,0,0
-0.9,0,-0.1,0.00081241,0,0.99918759,0,0,0,0
-0.9,0,-0.1,0.00081241,0,0.99918759,0,0,0,0
-0.9,0,-0.1,0.00081241,0,0.99918759,0,0,0,0
0,-0.9,-0.1,0.001000437,0,0,0.998999563,0,0,0
0,-0.9,-0.1,0.001000437,0,0,0.998999563,0,0,0
0,-0.9,-0.1,0.001000437,0,0,0.998999563,0,0,0
0,-0.9,-0.1,0.001000437,0,0,0.998999563,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.038805804,0.372278196
0,0,0,0,0,-1,0,0,0.038805804,0.372278196
0,0,0,0,0,-1,0,0,0.038805804,0.372278196
0,0,0,0,0,-1,0,0,0.038805804,0.372278196
0,0,0,0,0,0,-1,0,0.049664663,0.303767337
0,0,0,0,0,0,-1,0,0.049664663,0.303767337
0,0,0,0,0,0,-1,0,0.049664663,0.303767337
0,0,0,0,0,0,-1,0,0.049664663,0.303767337
0,0,0,0,0,0,0,-1,0.073009636,0.312270364
0,0,0,0,0,0,0,-1,0.073009636,0.312270364
0,0,0,0,0,0,0,-1,0.073009636,0.312270364
0,0,0,0,0,0,0,-1,0.073009636,0.312270364
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
