#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.000362636,0.001979833,0.99765753,0,0,0,0
-1,0,0,0.000362636,0.001979833,0.99765753,0,0,0,0
-1,0,0,0.000362636,0.001979833,0.99765753,0,0,0,0
-1,0,0,0.000362636,0.001979833,0.99765753,0,0,0,0
0,-1,0,0.000464111,0.002533842,0,0.997002047,0,0,0
0,-1,0,0.000464111,0.002533842,0,0.997002047,0,0,0
0,-1,0,0.000464111,0.002533842,0,0.997002047,0,0,0
0,-1,0,0.000464111,0.002533842,0,0.997002047,0,0,0
0,0,-1,0.000682267,0.003724879,0,0,0.995592854,0,0
0,0,-1,0.000682267,0.003724879,0,0,0.995592854,0,0
0,0,-1,0.000682267,0.003724879,0,0,0.995592854,0,0
0,0,-1,0.000682267,0.003724879,0,0,0.995592854,0,0
-0.9,0,-0.1,0.000394599,0.002154338,0.997451063,0,0,0,0
-0.9,0,-0.1,0.000394599,0.002154338,0.997451063,0,0,0,0
-0.9,0,-0.1,0.000394599,0.002154338,0.997451063,0,0,0,0
-0.9,0,-0.1,0.000394599,0.002154338,0.997451063,0,0,0,0
0,-0.9,-0.1,0.000485927,0.002652945,0,0.996861128,0,0,0
0,-0.9,-0.1,0.000485927,0.002652945,0,0.996861128,0,0,0
0,-0.9,-0.1,0.000485927,0.002652945,0,0.996861128,0,0,0
0,-0.9,-0.1,0.000485927,0.002652945,0,0.996861128,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.036272368,0.374811632
0,0,0,0,0,-1,0,0,0.036272368,0.374811632
0,0,0,0,0,-1,0,0,0.036272368,0.374811632
0,0,0,0,0,-1,0,0,0.036272368,0.374811632
0,0,0,0,0,0,-1,0,0.046422307,0.307009693
0,0,0,0,0,0,-1,0,0.046422307,0.307009693
0,0,0,0,0,0,-1,0,0.046422307,0.307009693
0,0,0,0,0,0,-1,0,0.046422307,0.307009693
0,0,0,0,0,0,0,-1,0.068243204,0.317036796
0,0,0,0,0,0,0,-1,0.068243204,0.317036796
0,0,0,0,0,0,0,-1,0.068243204,0.317036796
0,0,0,0,0,0,0,-1,0.068243204,0.317036796
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
