#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.000746604,0.002981971,0.996271425,0,0,0,0
-1,0,0,0.000746604,0.002981971,0.996271425,0,0,0,0
-1,0,0,0.000746604,0.002981971,0.996271425,0,0,0,0
-1,0,0,0.000746604,0.002981971,0.996271425,0,0,0,0
0,-1,0,0.000955523,0.003816403,0,0.995228074,0,0,0
0,-1,0,0.000955523,0.003816403,0,0.995228074,0,0,0
0,-1,0,0.000955523,0.003816403,0,0.995228074,0,0,0
0,-1,0,0.000955523,0.003816403,0,0.995228074,0,0,0
0,0,-1,0.001404668,0.005610311,0,0,0.992985021,0,0
0,0,-1,0.001404668,0.005610311,0,0,0.992985021,0,0
0,0,-1,0.001404668,0.005610311,0,0,0.992985021,0,0
0,0,-1,0.001404668,0.005610311,0,0,0.992985021,0,0
-0.9,0,-0.1,0.00081241,0.003244805,0.995942784,0,0,0,0
-0.9,0,-0.1,0.00081241,0.003244805,0.995942784,0,0,0,0
-0.9,0,-0.1,0.00081241,0.003244805,0.995942784,0,0,0,0
-0.9,0,-0.1,0.00081241,0.003244805,0.995942784,0,0,0,0
0,-0.9,-0.1,0.001000437,0.003995794,0,0.995003769,0,0,0
0,-0.9,-0.1,0.001000437,0.003995794,0,0.995003769,0,0,0
0,-0.9,-0.1,0.001000437,0.003995794,0,0.995003769,0,0,0
0,-0.9,-0.1,0.001000437,0.003995794,0,0.995003769,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.033899785,0.377184215
0,0,0,0,0,-1,0,0,0.033899785,0.377184215
0,0,0,0,0,-1,0,0,0.033899785,0.377184215
0,0,0,0,0,-1,0,0,0.033899785,0.377184215
0,0,0,0,0,0,-1,0,0.043385814,0.310046186
0,0,0,0,0,0,-1,0,0.043385814,0.310046186
0,0,0,0,0,0,-1,0,0.043385814,0.310046186
0,0,0,0,0,0,-1,0,0.043385814,0.310046186
0,0,0,0,0,0,0,-1,0.063779403,0.321500597
0,0,0,0,0,0,0,-1,0.063779403,0.321500597
0,0,0,0,0,0,0,-1,0.063779403,0.321500597
0,0,0,0,0,0,0,-1,0.063779403,0.321500597
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
