#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.000170652,0.002981971,0.996847376,0,0,0,0
-1,0,0,0.000170652,0.002981971,0.996847376,0,0,0,0
-1,0,0,0.000170652,0.002981971,0.996847376,0,0,0,0
-1,0,0,0.000170652,0.002981971,0.996847376,0,0,0,0
0,-1,0,0.000218405,0.003816403,0,0.995965191,0,0,0
0,-1,0,0.000218405,0.003816403,0,0.995965191,0,0,0
0,-1,0,0.000218405,0.003816403,0,0.995965191,0,0,0
0,-1,0,0.000218405,0.003816403,0,0.995965191,0,0,0
0,0,-1,0.000321067,0.005610311,0,0,0.994068622,0,0
0,0,-1,0.000321067,0.005610311,0,0,0.994068622,0,0
0,0,-1,0.000321067,0.005610311,0,0,0.994068622,0,0
0,0,-1,0.000321067,0.005610311,0,0,0.994068622,0,0
-0.9,0,-0.1,0.000185694,0.003244805,0.996569501,0,0,0,0
-0.9,0,-0.1,0.000185694,0.003244805,0.996569501,0,0,0,0
-0.9,0,-0.1,0.000185694,0.003244805,0.996569501,0,0,0,0
-0.9,0,-0.1,0.000185694,0.003244805,0.996569501,0,0,0,0
0,-0.9,-0.1,0.000228671,0.003995794,0,0.995775534,0,0,0
0,-0.9,-0.1,0.000228671,0.003995794,0,0.995775534,0,0,0
0,-0.9,-0.1,0.000228671,0.003995794,0,0.995775534,0,0,0
0,-0.9,-0.1,0.000228671,0.003995794,0,0.995775534,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.034985543,0.376098457
0,0,0,0,0,-1,0,0,0.034985543,0.376098457
0,0,0,0,0,-1,0,0,0.034985543,0.376098457
0,0,0,0,0,-1,0,0,0.034985543,0.376098457
0,0,0,0,0,0,-1,0,0.044775395,0.308656605
0,0,0,0,0,0,-1,0,0.044775395,0.308656605
0,0,0,0,0,0,-1,0,0.044775395,0.308656605
0,0,0,0,0,0,-1,0,0.044775395,0.308656605
0,0,0,0,0,0,0,-1,0.065822159,0.319457841
0,0,0,0,0,0,0,-1,0.065822159,0.319457841
0,0,0,0,0,0,0,-1,0.065822159,0.319457841
0,0,0,0,0,0,0,-1,0.065822159,0.319457841
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
