#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1619.4799201055257,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,725.9443073772987,2.991838500000003,48.47929272559987
2,43922.845652183285,1534.0048261044371,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,687.7259052393548,2.991838500000003,44.542517235077064
3,49281.48764762272,1804.380248931057,1.5374146335247612,5428.940278125,40232.44898369288,1047.143475,480.2010068800508,299.1838500000003,880.6757303305734,2.991838500000003,59.662798655616946
4,50593.63241393799,1979.2006879329333,1.578733225498359,5428.940278125,41313.71106316496,1047.143475,492.4531479981125,299.1838500000003,1027.9363272747298,2.991838500000003,70.55232156607187
5,59158.98075130779,2159.920936165689,1.8486735888116164,5428.940278125,48377.75329277551,1047.143475,572.1222411864134,299.1838500000003,1094.52645466168,2.991838500000003,81.96627943058712
6,39184.18490629696,1672.150316625842,1.2198065521551205,5428.940278125,31920.995032446976,1047.143475,385.43222325774246,299.1838500000003,892.5273657372474,2.991838500000003,55.219746828200755
7,50728.58637189321,1982.3199913171172,1.5829833823373634,5428.940278125,41424.93299020354,1047.143475,493.71252433240835,299.1838500000003,1029.1766528056855,2.991838500000003,70.7327487284753
8,42339.56416783572,1766.8075010175708,1.318987481427999,5428.940278125,34516.450799625396,1047.143475,415.1454155374253,299.1838500000003,936.8478859430859,2.991838500000003,59.47666894351788
9,56974.51040150301,2090.6500310193405,1.77979415639117,5428.940278125,46575.254350425814,1047.143475,551.8523471930919,299.1838500000003,1055.2524857116466,2.991838500000003,77.27488950407299
10,55519.25870437098,1093.1254101192776,1.7339209028566331,5428.940278125,45374.80179045964,1047.143475,538.3310432443172,299.1838500000003,141.93356319219342,2.991838500000003,10.239921169534096
11,58571.96771662989,1132.2667646622442,1.8301619996729037,5428.940278125,47893.325377631474,1047.143475,566.6784057116647,299.1838500000003,144.80676239431375,2.991838500000003,10.779133538340606
12,62508.67309698525,1013.1732155598891,1.9315115896525297,5428.940278125,51260.568701815726,1047.143475,604.8876279635953,299.1838500000003,0.0,2.991838500000003,0.0
13,59952.88004413087,992.4945865815469,1.8737119562190558,5428.940278125,49032.9798122768,1047.143475,579.4811229250237,299.1838500000003,0.0,2.991838500000003,0.0
14,44255.44503805299,772.6501363171702,1.3237874740868045,5428.940278125,36384.33677019253,1047.143475,437.53187439842924,299.1838500000003,0.0,2.991838500000003,0.0
15,52418.281865746205,903.4369882437303,1.6362060157786695,5428.940278125,42817.710734094224,1047.143475,509.46891656231395,299.1838500000003,0.0,2.991838500000003,0.0
