#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.284562346309516e8,6.645849359054722e9
2.5431221463719704e6,2.805713367408142e8,8.16189079479577e9
1.9092393115614345e6,1.7134110981054524e8,4.984356004350703e9
1.5560973061185484e6,1.2605052205624555e8,3.666841408680548e9
1.9210607107483805e6,1.952137349094783e8,5.678816676299479e9
2.6067928106942493e6,2.9282893996320236e8,8.518467557301941e9
2.879117185993429e6,3.2501804199428844e8,9.45485663614417e9
2.9689175106173707e6,2.7655213364986914e8,8.044971165401469e9
2.9985296167452415e6,2.794361955109208e8,8.128869250746817e9
2.9679765409505223e6,2.754858011143557e8,8.013951283588531e9
2.954601455267023e6,2.741831388065311e8,7.976056509223952e9
2.950190953875321e6,2.737535793960321e8,7.963560517868967e9
1.975736618926649e6,1.4278348045071745e8,4.1536073794172664e9
1.518594625514945e6,9.728559117709929e7,2.8300623303803234e9
1.3095575634758798e6,3.603933756306262e7,1.0319069629064918e9
2.0144328727793773e6,2.018008527880107e8,5.778122440459196e9
2.6705833095403537e6,2.779477895090684e8,7.958422066360035e9
2.9001524219983225e6,3.0305762269663167e8,8.677386771477802e9
2.896033307695893e6,3.004178572693851e8,8.601802909259218e9
1.9277554209616836e6,1.5291419624268383e8,4.378360827358833e9
2.523198965042558e6,2.618271700355947e8,7.496843674361703e9
2.8515516973446854e6,2.93384621974436e8,8.400421725159536e9
2.9598276528829862e6,3.0505432975293976e8,8.734558075214544e9
2.99553219069979e6,3.089024742520316e8,8.844741207630198e9
3.007305940599975e6,3.1017141914482224e8,8.881074646559923e9
1.8717629334224164e6,1.0365516331940149e8,2.9679370377808437e9
1.3175688923618088e6,3.421819199492925e7,9.797624752633779e8
1.8667702451244206e6,1.7861862566587687e8,5.114350484574867e9
2.2745849462575396e6,2.724419008241598e8,7.440971590170455e9
1.6003215532278824e6,1.2866109350542231e8,3.514009917850397e9
1.398129175938486e6,1.2043042988583606e8,3.289212873136195e9
2.3214344708447866e6,2.892662504943153e8,7.900480599394115e9
2.7817187902302956e6,3.5161228675672257e8,9.60328432813381e9
2.9367999025341e6,3.7217120400101775e8,1.016479237324983e10
2.3547104200092535e6,2.6979708346358305e8,7.3687359656879225e9
2.653470013040371e6,2.558841276176929e8,6.988743354891308e9
2.887909114601272e6,2.8188647177481705e8,7.69892304298515e9
2.8919960158540667e6,2.8025878026666933e8,7.654467303126304e9
2.3073681996902567e6,2.021085087770641e8,5.520016074592324e9
2.4142652784654056e6,2.253041368648527e8,6.153538337853851e9
2.789229820251906e6,2.718025668963599e8,7.423510011833935e9
2.939276702245693e6,2.8713565673360145e8,7.84228952233986e9
2.988755411953737e6,3.446423070075264e8,8.809973794643915e9
3.00507126391842e6,3.466088932510091e8,8.860244968315035e9
2.325981160023159e6,2.3942563132346922e8,6.12035578580251e9
2.717216960782779e6,3.1191316826531833e8,7.973329979368444e9
1.8395730865402184e6,1.5426052834114054e8,3.9433092937243323e9
2.4043995536447624e6,2.717961073850801e8,6.947831229253255e9
2.725956207847854e6,3.105540523593895e8,7.938587362830494e9
1.739129618267274e6,1.3237739782931738e8,3.383918289097252e9
2.3678799490727508e6,2.811407377105882e8,7.186704828386177e9
2.496920397232525e6,2.885825420886445e8,7.376937136557529e9
2.4823801102378704e6,2.8548559183909166e8,7.297770853175842e9
2.768073154639982e6,3.31628930365242e8,8.477317284206118e9
2.929000129810549e6,3.5319395856286126e8,9.028576747826273e9
2.651261012022955e6,3.0679152953718823e8,7.842407274688793e9
2.8640802924391893e6,3.3767003077413744e8,9.248586147936813e9
1.9649497439185628e6,1.8092586321007413e8,4.955454377908515e9
2.3155414065347128e6,2.62523358509074e8,7.190362412235825e9
2.7632752420679647e6,3.2522284511896676e8,8.90766495760408e9
2.930718050293091e6,3.4589831438291776e8,9.473954060010609e9
2.9859331536713387e6,3.52716153768817e8,9.660690723488636e9
3.004140610135946e6,3.5496437040170205e8,9.722268072123316e9
2.9698267940811673e6,3.0405600442893577e8,8.327917477045614e9
2.995529401367588e6,3.0789217593918115e8,8.432987988069132e9
3.0073050208037323e6,3.0915717267902386e8,8.467635514527054e9
3.0111880902015856e6,3.095743116801188e8,8.479060709645634e9
3.0124685517543983e6,3.0971186535180336e8,8.482828224872326e9
3.0128907903549084e6,3.097572243629345e8,8.4840705818593235e9
3.0130300256450037e6,3.097721817236914e8,8.484480255288701e9
3.013075939178215e6,3.753186152500554e8,8.794995206178114e9
3.0130910793954004e6,3.753205858048951e8,8.795041382998726e9
2.0289997996762274e6,2.003465621432027e8,4.69480324723508e9
3.125157943754258e6,1.8540993741663623e8,4.34478718746914e9
1.5186240998880486e6,1.3131423970640324e8,3.0771404928883815e9
2.3948859781847605e6,2.948589227260401e8,6.909550196828355e9
1.6218514034138613e6,1.0958145357860939e8,2.567867192699169e9
1.680628124596034e6,1.8887568456444508e8,4.426001463319796e9
2.3891929732134333e6,3.1171568994724554e8,7.304561744026427e9
2.2751568349585785e6,2.78985067113575e8,6.537571620913119e9
2.6017420693740416e6,3.41429709471517e8,8.000862563260072e9
2.8675515103435507e6,3.827865778038796e8,8.969995038832413e9
1.8645226718096149e6,1.2644392904900047e8,2.963012503644051e9
1.2598642360406304e6,4.1913658676179156e7,9.821799723010861e8
2.0046463618400309e6,2.473029829125231e8,6.328610306941029e9
2.300019503696309e6,2.7901466551806676e8,7.140128546730619e9
2.7449565923950677e6,3.524581815143265e8,9.01958582960669e9
2.924677383953579e6,3.766765481983302e8,9.639346267627275e9
2.7525220606217906e6,1.768137910989451e8,4.524755696755641e9
2.4948647796676913e6,3.1875693207749164e8,8.15715355308948e9
2.086019596698993e6,2.3129688999743438e8,5.919006171142484e9
2.628188266809781e6,2.832996201426924e8,7.249782735623976e9
2.7676567917107884e6,2.9570809861899126e8,7.567322070789773e9
