#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,1.3368196990549941e8,6.645849359054722e9
2.5431221463719704e6,1.6417730536056784e8,8.16189079479577e9
1.9092393115614345e6,1.0026085356028602e8,4.984356004350703e9
1.5560973061185484e6,7.375890670401758e7,3.666841408680548e9
1.9210607107483805e6,1.1423000417329568e8,5.678816676299479e9
2.6067928106942493e6,1.7134988503533956e8,8.518467557301941e9
2.879117185993429e6,1.901854514008447e8,9.45485663614417e9
2.9689175106173707e6,1.618254545235103e8,8.044971165401469e9
2.9985296167452415e6,1.6351307347397372e8,8.128869250746817e9
2.9679765409505223e6,1.612014862866529e8,8.013951283588531e9
2.954601455267023e6,1.6043922885159993e8,7.976056509223952e9
2.950190953875321e6,1.6018787065041223e8,7.963560517868967e9
1.975736618926649e6,8.35502562118708e7,4.1536073794172664e9
1.518594625514945e6,5.692700614183074e7,2.8300623303803234e9
1.3095575634758798e6,2.1154888541201655e7,1.0319069629064918e9
2.0144328727793773e6,1.1845596608926748e8,5.778122440459196e9
2.6705833095403537e6,1.6315378985667574e8,7.958422066360035e9
2.9001524219983225e6,1.7789312077366516e8,8.677386771477802e9
2.896033307695893e6,1.763435933082782e8,8.601802909259218e9
1.9277554209616836e6,8.975977353137879e7,4.378360827358833e9
2.523198965042558e6,1.5369107685370457e8,7.496843674361703e9
2.8515516973446854e6,1.722151237300474e8,8.400421725159536e9
2.9598276528829862e6,1.7906517659049907e8,8.734558075214544e9
2.99553219069979e6,1.8132401577771446e8,8.844741207630198e9
3.007305940599975e6,1.8206887929594478e8,8.881074646559923e9
1.8717629334224164e6,6.08449981330802e7,2.9679370377808437e9
1.3175688923618088e6,2.008588633094319e7,9.797624752633779e8
1.8667702451244206e6,1.048481290959427e8,5.114350484574867e9
2.2745849462575396e6,1.461929368125877e8,7.331456566923309e9
1.6003215532278824e6,6.903983218505226e7,3.4622912849836283e9
1.398129175938486e6,6.4623239572741665e7,3.2408027670228796e9
2.3214344708447866e6,1.552209206902564e8,7.784202596444982e9
2.7817187902302956e6,1.8867594398973092e8,9.46194473374081e9
2.9367999025341e6,1.997079052282129e8,1.0015188593747515e10
2.3547104200092535e6,1.4477372186765462e8,7.260284094745368e9
